# CJK Compatibility Ideographs Supplement
U+2F8C8, \xf0\xaf\xa3\x88, CJK COMPATIBILITY IDEOGRAPH-2F8C8
U+2F8C9, \xf0\xaf\xa3\x89, CJK COMPATIBILITY IDEOGRAPH-2F8C9
U+2F8CA, \xf0\xaf\xa3\x8a, CJK COMPATIBILITY IDEOGRAPH-2F8CA
U+2F8CB, \xf0\xaf\xa3\x8b, CJK COMPATIBILITY IDEOGRAPH-2F8CB
U+2F8CC, \xf0\xaf\xa3\x8c, CJK COMPATIBILITY IDEOGRAPH-2F8CC
U+2F8CD, \xf0\xaf\xa3\x8d, CJK COMPATIBILITY IDEOGRAPH-2F8CD
U+2F8CE, \xf0\xaf\xa3\x8e, CJK COMPATIBILITY IDEOGRAPH-2F8CE
U+2F8CF, \xf0\xaf\xa3\x8f, CJK COMPATIBILITY IDEOGRAPH-2F8CF
U+2F8D0, \xf0\xaf\xa3\x90, CJK COMPATIBILITY IDEOGRAPH-2F8D0
U+2F8D1, \xf0\xaf\xa3\x91, CJK COMPATIBILITY IDEOGRAPH-2F8D1
U+2F8D2, \xf0\xaf\xa3\x92, CJK COMPATIBILITY IDEOGRAPH-2F8D2
U+2F8D3, \xf0\xaf\xa3\x93, CJK COMPATIBILITY IDEOGRAPH-2F8D3
U+2F8D4, \xf0\xaf\xa3\x94, CJK COMPATIBILITY IDEOGRAPH-2F8D4
U+2F8D5, \xf0\xaf\xa3\x95, CJK COMPATIBILITY IDEOGRAPH-2F8D5
U+2F8D6, \xf0\xaf\xa3\x96, CJK COMPATIBILITY IDEOGRAPH-2F8D6
U+2F8D7, \xf0\xaf\xa3\x97, CJK COMPATIBILITY IDEOGRAPH-2F8D7
U+2F8D8, \xf0\xaf\xa3\x98, CJK COMPATIBILITY IDEOGRAPH-2F8D8
U+2F8D9, \xf0\xaf\xa3\x99, CJK COMPATIBILITY IDEOGRAPH-2F8D9
U+2F8DA, \xf0\xaf\xa3\x9a, CJK COMPATIBILITY IDEOGRAPH-2F8DA
U+2F8DB, \xf0\xaf\xa3\x9b, CJK COMPATIBILITY IDEOGRAPH-2F8DB
U+2F8DC, \xf0\xaf\xa3\x9c, CJK COMPATIBILITY IDEOGRAPH-2F8DC
U+2F8DD, \xf0\xaf\xa3\x9d, CJK COMPATIBILITY IDEOGRAPH-2F8DD
U+2F8DE, \xf0\xaf\xa3\x9e, CJK COMPATIBILITY IDEOGRAPH-2F8DE
U+2F8DF, \xf0\xaf\xa3\x9f, CJK COMPATIBILITY IDEOGRAPH-2F8DF
U+2F8E0, \xf0\xaf\xa3\xa0, CJK COMPATIBILITY IDEOGRAPH-2F8E0
U+2F8E1, \xf0\xaf\xa3\xa1, CJK COMPATIBILITY IDEOGRAPH-2F8E1
U+2F8E2, \xf0\xaf\xa3\xa2, CJK COMPATIBILITY IDEOGRAPH-2F8E2
U+2F8E3, \xf0\xaf\xa3\xa3, CJK COMPATIBILITY IDEOGRAPH-2F8E3
U+2F8E4, \xf0\xaf\xa3\xa4, CJK COMPATIBILITY IDEOGRAPH-2F8E4
U+2F8E5, \xf0\xaf\xa3\xa5, CJK COMPATIBILITY IDEOGRAPH-2F8E5
U+2F8E6, \xf0\xaf\xa3\xa6, CJK COMPATIBILITY IDEOGRAPH-2F8E6
U+2F8E7, \xf0\xaf\xa3\xa7, CJK COMPATIBILITY IDEOGRAPH-2F8E7
U+2F8E8, \xf0\xaf\xa3\xa8, CJK COMPATIBILITY IDEOGRAPH-2F8E8
U+2F8E9, \xf0\xaf\xa3\xa9, CJK COMPATIBILITY IDEOGRAPH-2F8E9
U+2F8EA, \xf0\xaf\xa3\xaa, CJK COMPATIBILITY IDEOGRAPH-2F8EA
U+2F8EB, \xf0\xaf\xa3\xab, CJK COMPATIBILITY IDEOGRAPH-2F8EB
U+2F8EC, \xf0\xaf\xa3\xac, CJK COMPATIBILITY IDEOGRAPH-2F8EC
U+2F8ED, \xf0\xaf\xa3\xad, CJK COMPATIBILITY IDEOGRAPH-2F8ED
U+2F8EE, \xf0\xaf\xa3\xae, CJK COMPATIBILITY IDEOGRAPH-2F8EE
U+2F8EF, \xf0\xaf\xa3\xaf, CJK COMPATIBILITY IDEOGRAPH-2F8EF
U+2F8F0, \xf0\xaf\xa3\xb0, CJK COMPATIBILITY IDEOGRAPH-2F8F0
U+2F8F1, \xf0\xaf\xa3\xb1, CJK COMPATIBILITY IDEOGRAPH-2F8F1
U+2F8F2, \xf0\xaf\xa3\xb2, CJK COMPATIBILITY IDEOGRAPH-2F8F2
U+2F8F3, \xf0\xaf\xa3\xb3, CJK COMPATIBILITY IDEOGRAPH-2F8F3
U+2F8F4, \xf0\xaf\xa3\xb4, CJK COMPATIBILITY IDEOGRAPH-2F8F4
U+2F8F5, \xf0\xaf\xa3\xb5, CJK COMPATIBILITY IDEOGRAPH-2F8F5
U+2F8F6, \xf0\xaf\xa3\xb6, CJK COMPATIBILITY IDEOGRAPH-2F8F6
U+2F8F7, \xf0\xaf\xa3\xb7, CJK COMPATIBILITY IDEOGRAPH-2F8F7
U+2F8F8, \xf0\xaf\xa3\xb8, CJK COMPATIBILITY IDEOGRAPH-2F8F8
U+2F8F9, \xf0\xaf\xa3\xb9, CJK COMPATIBILITY IDEOGRAPH-2F8F9
U+2F8FA, \xf0\xaf\xa3\xba, CJK COMPATIBILITY IDEOGRAPH-2F8FA
U+2F8FB, \xf0\xaf\xa3\xbb, CJK COMPATIBILITY IDEOGRAPH-2F8FB
U+2F8FC, \xf0\xaf\xa3\xbc, CJK COMPATIBILITY IDEOGRAPH-2F8FC
U+2F8FD, \xf0\xaf\xa3\xbd, CJK COMPATIBILITY IDEOGRAPH-2F8FD
U+2F8FE, \xf0\xaf\xa3\xbe, CJK COMPATIBILITY IDEOGRAPH-2F8FE
U+2F8FF, \xf0\xaf\xa3\xbf, CJK COMPATIBILITY IDEOGRAPH-2F8FF
