# Unicode Characters in the Cuneiform Block
# Source: http://www.fileformat.info/info/unicode/block/cuneiform/list.htm
"U+1208F", "\xe1\x88\x88\x46", "CUNEIFORM SIGN E2 TIMES GAR (U+1208F)"
"U+12090", "\xe1\x88\x89\x30", "CUNEIFORM SIGN E2 TIMES MI (U+12090)"
"U+12091", "\xe1\x88\x89\x31", "CUNEIFORM SIGN E2 TIMES SAL (U+12091)"
"U+12092", "\xe1\x88\x89\x32", "CUNEIFORM SIGN E2 TIMES SHE (U+12092)"
"U+12093", "\xe1\x88\x89\x33", "CUNEIFORM SIGN E2 TIMES U (U+12093)"
"U+12094", "\xe1\x88\x89\x34", "CUNEIFORM SIGN EDIN (U+12094)"
"U+12095", "\xe1\x88\x89\x35", "CUNEIFORM SIGN EGIR (U+12095)"
"U+12096", "\xe1\x88\x89\x36", "CUNEIFORM SIGN EL (U+12096)"
"U+12097", "\xe1\x88\x89\x37", "CUNEIFORM SIGN EN (U+12097)"
"U+12098", "\xe1\x88\x89\x38", "CUNEIFORM SIGN EN TIMES GAN2 (U+12098)"
"U+12099", "\xe1\x88\x89\x39", "CUNEIFORM SIGN EN TIMES GAN2 TENU (U+12099)"
"U+1209A", "\xe1\x88\x89\x41", "CUNEIFORM SIGN EN TIMES ME (U+1209A)"
"U+1209B", "\xe1\x88\x89\x42", "CUNEIFORM SIGN EN CROSSING EN (U+1209B)"
"U+1209C", "\xe1\x88\x89\x43", "CUNEIFORM SIGN EN OPPOSING EN (U+1209C)"
"U+1209D", "\xe1\x88\x89\x44", "CUNEIFORM SIGN EN SQUARED (U+1209D)"
"U+1209E", "\xe1\x88\x89\x45", "CUNEIFORM SIGN EREN (U+1209E)"
"U+1209F", "\xe1\x88\x89\x46", "CUNEIFORM SIGN ERIN2 (U+1209F)"
"U+120A0", "\xe1\x88\x8a\x30", "CUNEIFORM SIGN ESH2 (U+120A0)"
"U+120A1", "\xe1\x88\x8a\x31", "CUNEIFORM SIGN EZEN (U+120A1)"
"U+120A2", "\xe1\x88\x8a\x32", "CUNEIFORM SIGN EZEN TIMES A (U+120A2)"
"U+120A3", "\xe1\x88\x8a\x33", "CUNEIFORM SIGN EZEN TIMES A PLUS LAL (U+120A3)"
"U+120A4", "\xe1\x88\x8a\x34", "CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL (U+120A4)"
"U+120A5", "\xe1\x88\x8a\x35", "CUNEIFORM SIGN EZEN TIMES AN (U+120A5)"
"U+120A6", "\xe1\x88\x8a\x36", "CUNEIFORM SIGN EZEN TIMES BAD (U+120A6)"
"U+120A7", "\xe1\x88\x8a\x37", "CUNEIFORM SIGN EZEN TIMES DUN3 GUNU (U+120A7)"
"U+120A8", "\xe1\x88\x8a\x38", "CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU (U+120A8)"
"U+120A9", "\xe1\x88\x8a\x39", "CUNEIFORM SIGN EZEN TIMES HA (U+120A9)"
"U+120AA", "\xe1\x88\x8a\x41", "CUNEIFORM SIGN EZEN TIMES HA GUNU (U+120AA)"
"U+120AB", "\xe1\x88\x8a\x42", "CUNEIFORM SIGN EZEN TIMES IGI GUNU (U+120AB)"
"U+120AC", "\xe1\x88\x8a\x43", "CUNEIFORM SIGN EZEN TIMES KASKAL (U+120AC)"
"U+120AD", "\xe1\x88\x8a\x44", "CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED (U+120AD)"
"U+120AE", "\xe1\x88\x8a\x45", "CUNEIFORM SIGN EZEN TIMES KU3 (U+120AE)"
"U+120AF", "\xe1\x88\x8a\x46", "CUNEIFORM SIGN EZEN TIMES LA (U+120AF)"
"U+120B0", "\xe1\x88\x8b\x30", "CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL (U+120B0)"
"U+120B1", "\xe1\x88\x8b\x31", "CUNEIFORM SIGN EZEN TIMES LI (U+120B1)"
"U+120B2", "\xe1\x88\x8b\x32", "CUNEIFORM SIGN EZEN TIMES LU (U+120B2)"
"U+120B3", "\xe1\x88\x8b\x33", "CUNEIFORM SIGN EZEN TIMES U2 (U+120B3)"
"U+120B4", "\xe1\x88\x8b\x34", "CUNEIFORM SIGN EZEN TIMES UD (U+120B4)"
"U+120B5", "\xe1\x88\x8b\x35", "CUNEIFORM SIGN GA (U+120B5)"
"U+120B6", "\xe1\x88\x8b\x36", "CUNEIFORM SIGN GA GUNU (U+120B6)"
