# Unicode Characters in the Arabic Block
# Source: http://www.fileformat.info/info/unicode/block/arabic/list.htm
"U+06B8", "\xda\xb8", "ARABIC LETTER LAM WITH THREE DOTS BELOW (U+06B8)"
"U+06B9", "\xda\xb9", "ARABIC LETTER NOON WITH DOT BELOW (U+06B9)"
"U+06BA", "\xda\xba", "ARABIC LETTER NOON GHUNNA (U+06BA)"
"U+06BB", "\xda\xbb", "ARABIC LETTER RNOON (U+06BB)"
"U+06BC", "\xda\xbc", "ARABIC LETTER NOON WITH RING (U+06BC)"
"U+06BD", "\xda\xbd", "ARABIC LETTER NOON WITH THREE DOTS ABOVE (U+06BD)"
"U+06BE", "\xda\xbe", "ARABIC LETTER HEH DOACHASHMEE (U+06BE)"
"U+06BF", "\xda\xbf", "ARABIC LETTER TCHEH WITH DOT ABOVE (U+06BF)"
"U+06C0", "\xdb\x80", "ARABIC LETTER HEH WITH YEH ABOVE (U+06C0)"
"U+06C1", "\xdb\x81", "ARABIC LETTER HEH GOAL (U+06C1)"
"U+06C2", "\xdb\x82", "ARABIC LETTER HEH GOAL WITH HAMZA ABOVE (U+06C2)"
"U+06C3", "\xdb\x83", "ARABIC LETTER TEH MARBUTA GOAL (U+06C3)"
"U+06C4", "\xdb\x84", "ARABIC LETTER WAW WITH RING (U+06C4)"
"U+06C5", "\xdb\x85", "ARABIC LETTER KIRGHIZ OE (U+06C5)"
"U+06C6", "\xdb\x86", "ARABIC LETTER OE (U+06C6)"
"U+06C7", "\xdb\x87", "ARABIC LETTER U (U+06C7)"
"U+06C8", "\xdb\x88", "ARABIC LETTER YU (U+06C8)"
"U+06C9", "\xdb\x89", "ARABIC LETTER KIRGHIZ YU (U+06C9)"
"U+06CA", "\xdb\x8a", "ARABIC LETTER WAW WITH TWO DOTS ABOVE (U+06CA)"
"U+06CB", "\xdb\x8b", "ARABIC LETTER VE (U+06CB)"
"U+06CC", "\xdb\x8c", "ARABIC LETTER FARSI YEH (U+06CC)"
"U+06CD", "\xdb\x8d", "ARABIC LETTER YEH WITH TAIL (U+06CD)"
"U+06CE", "\xdb\x8e", "ARABIC LETTER YEH WITH SMALL V (U+06CE)"
"U+06CF", "\xdb\x8f", "ARABIC LETTER WAW WITH DOT ABOVE (U+06CF)"
"U+06D0", "\xdb\x90", "ARABIC LETTER E (U+06D0)"
"U+06D1", "\xdb\x91", "ARABIC LETTER YEH WITH THREE DOTS BELOW (U+06D1)"
"U+06D2", "\xdb\x92", "ARABIC LETTER YEH BARREE (U+06D2)"
"U+06D3", "\xdb\x93", "ARABIC LETTER YEH BARREE WITH HAMZA ABOVE (U+06D3)"
"U+06D4", "\xdb\x94", "ARABIC FULL STOP (U+06D4)"
"U+06D5", "\xdb\x95", "ARABIC LETTER AE (U+06D5)"
"U+06D6", "\xdb\x96", "ARABIC SMALL HIGH LIGATURE SAD WITH LAM WITH ALEF MAKSURA (U+06D6)"
"U+06D7", "\xdb\x97", "ARABIC SMALL HIGH LIGATURE QAF WITH LAM WITH ALEF MAKSURA (U+06D7)"
"U+06D8", "\xdb\x98", "ARABIC SMALL HIGH MEEM INITIAL FORM (U+06D8)"
"U+06D9", "\xdb\x99", "ARABIC SMALL HIGH LAM ALEF (U+06D9)"
"U+06DA", "\xdb\x9a", "ARABIC SMALL HIGH JEEM (U+06DA)"
"U+06DB", "\xdb\x9b", "ARABIC SMALL HIGH THREE DOTS (U+06DB)"
"U+06DC", "\xdb\x9c", "ARABIC SMALL HIGH SEEN (U+06DC)"
"U+06DD", "\xdb\x9d", "ARABIC END OF AYAH (U+06DD)"
"U+06DE", "\xdb\x9e", "ARABIC START OF RUB EL HIZB (U+06DE)"
"U+06DF", "\xdb\x9f", "ARABIC SMALL HIGH ROUNDED ZERO (U+06DF)"
"U+06E0", "\xdb\xa0", "ARABIC SMALL HIGH UPRIGHT RECTANGULAR ZERO (U+06E0)"
"U+06E1", "\xdb\xa1", "ARABIC SMALL HIGH DOTLESS HEAD OF KHAH (U+06E1)"
"U+06E2", "\xdb\xa2", "ARABIC SMALL HIGH MEEM ISOLATED FORM (U+06E2)"
"U+06E3", "\xdb\xa3", "ARABIC SMALL LOW SEEN (U+06E3)"
"U+06E4", "\xdb\xa4", "ARABIC SMALL HIGH MADDA (U+06E4)"
"U+06E5", "\xdb\xa5", "ARABIC SMALL WAW (U+06E5)"
"U+06E6", "\xdb\xa6", "ARABIC SMALL YEH (U+06E6)"
"U+06E7", "\xdb\xa7", "ARABIC SMALL HIGH YEH (U+06E7)"
"U+06E8", "\xdb\xa8", "ARABIC SMALL HIGH NOON (U+06E8)"
"U+06E9", "\xdb\xa9", "ARABIC PLACE OF SAJDAH (U+06E9)"
"U+06EA", "\xdb\xaa", "ARABIC EMPTY CENTRE LOW STOP (U+06EA)"
"U+06EB", "\xdb\xab", "ARABIC EMPTY CENTRE HIGH STOP (U+06EB)"
"U+06EC", "\xdb\xac", "ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE (U+06EC)"
"U+06ED", "\xdb\xad", "ARABIC SMALL LOW MEEM (U+06ED)"
"U+06EE", "\xdb\xae", "ARABIC LETTER DAL WITH INVERTED V (U+06EE)"
"U+06EF", "\xdb\xaf", "ARABIC LETTER REH WITH INVERTED V (U+06EF)"
"U+06F0", "\xdb\xb0", "EXTENDED ARABIC-INDIC DIGIT ZERO (U+06F0)"
"U+06F1", "\xdb\xb1", "EXTENDED ARABIC-INDIC DIGIT ONE (U+06F1)"
"U+06F2", "\xdb\xb2", "EXTENDED ARABIC-INDIC DIGIT TWO (U+06F2)"
"U+06F3", "\xdb\xb3", "EXTENDED ARABIC-INDIC DIGIT THREE (U+06F3)"
"U+06F4", "\xdb\xb4", "EXTENDED ARABIC-INDIC DIGIT FOUR (U+06F4)"
"U+06F5", "\xdb\xb5", "EXTENDED ARABIC-INDIC DIGIT FIVE (U+06F5)"
"U+06F6", "\xdb\xb6", "EXTENDED ARABIC-INDIC DIGIT SIX (U+06F6)"
"U+06F7", "\xdb\xb7", "EXTENDED ARABIC-INDIC DIGIT SEVEN (U+06F7)"
"U+06F8", "\xdb\xb8", "EXTENDED ARABIC-INDIC DIGIT EIGHT (U+06F8)"
"U+06F9", "\xdb\xb9", "EXTENDED ARABIC-INDIC DIGIT NINE (U+06F9)"
"U+06FA", "\xdb\xba", "ARABIC LETTER SHEEN WITH DOT BELOW (U+06FA)"
"U+06FB", "\xdb\xbb", "ARABIC LETTER DAD WITH DOT BELOW (U+06FB)"
"U+06FC", "\xdb\xbc", "ARABIC LETTER GHAIN WITH DOT BELOW (U+06FC)"
"U+06FD", "\xdb\xbd", "ARABIC SIGN SINDHI AMPERSAND (U+06FD)"
"U+06FE", "\xdb\xbe", "ARABIC SIGN SINDHI POSTPOSITION MEN (U+06FE)"
"U+06FF", "\xdb\xbf", "ARABIC LETTER HEH WITH INVERTED V (U+06FF)"
