# Ethiopic
U+12E5, \xe1\x8b\xa5, ETHIOPIC SYLLABLE ZHE
U+12E6, \xe1\x8b\xa6, ETHIOPIC SYLLABLE ZHO
U+12E7, \xe1\x8b\xa7, ETHIOPIC SYLLABLE ZHWA
U+12E8, \xe1\x8b\xa8, ETHIOPIC SYLLABLE YA
U+12E9, \xe1\x8b\xa9, ETHIOPIC SYLLABLE YU
U+12EA, \xe1\x8b\xaa, ETHIOPIC SYLLABLE YI
U+12EB, \xe1\x8b\xab, ETHIOPIC SYLLABLE YAA
U+12EC, \xe1\x8b\xac, ETHIOPIC SYLLABLE YEE
U+12ED, \xe1\x8b\xad, ETHIOPIC SYLLABLE YE
U+12EE, \xe1\x8b\xae, ETHIOPIC SYLLABLE YO
U+12EF, \xe1\x8b\xaf, ETHIOPIC SYLLABLE YOA
U+12F0, \xe1\x8b\xb0, ETHIOPIC SYLLABLE DA
U+12F1, \xe1\x8b\xb1, ETHIOPIC SYLLABLE DU
U+12F2, \xe1\x8b\xb2, ETHIOPIC SYLLABLE DI
U+12F3, \xe1\x8b\xb3, ETHIOPIC SYLLABLE DAA
U+12F4, \xe1\x8b\xb4, ETHIOPIC SYLLABLE DEE
U+12F5, \xe1\x8b\xb5, ETHIOPIC SYLLABLE DE
U+12F6, \xe1\x8b\xb6, ETHIOPIC SYLLABLE DO
U+12F7, \xe1\x8b\xb7, ETHIOPIC SYLLABLE DWA
U+12F8, \xe1\x8b\xb8, ETHIOPIC SYLLABLE DDA
U+12F9, \xe1\x8b\xb9, ETHIOPIC SYLLABLE DDU
U+12FA, \xe1\x8b\xba, ETHIOPIC SYLLABLE DDI
U+12FB, \xe1\x8b\xbb, ETHIOPIC SYLLABLE DDAA
U+12FC, \xe1\x8b\xbc, ETHIOPIC SYLLABLE DDEE
U+12FD, \xe1\x8b\xbd, ETHIOPIC SYLLABLE DDE
U+12FE, \xe1\x8b\xbe, ETHIOPIC SYLLABLE DDO
U+12FF, \xe1\x8b\xbf, ETHIOPIC SYLLABLE DDWA
