# Unicode Characters in the Unified Canadian Aboriginal Syllabics Block
# Source: http://www.fileformat.info/info/unicode/block/unified_canadian_aboriginal_syllabics/list.htm
"U+14E1", "\xe1\x93\xa1", "CANADIAN SYLLABICS WEST-CREE LWII (U+14E1)"
"U+14E2", "\xe1\x93\xa2", "CANADIAN SYLLABICS LWO (U+14E2)"
"U+14E3", "\xe1\x93\xa3", "CANADIAN SYLLABICS WEST-CREE LWO (U+14E3)"
"U+14E4", "\xe1\x93\xa4", "CANADIAN SYLLABICS LWOO (U+14E4)"
"U+14E5", "\xe1\x93\xa5", "CANADIAN SYLLABICS WEST-CREE LWOO (U+14E5)"
"U+14E6", "\xe1\x93\xa6", "CANADIAN SYLLABICS LWA (U+14E6)"
"U+14E7", "\xe1\x93\xa7", "CANADIAN SYLLABICS WEST-CREE LWA (U+14E7)"
"U+14E8", "\xe1\x93\xa8", "CANADIAN SYLLABICS LWAA (U+14E8)"
"U+14E9", "\xe1\x93\xa9", "CANADIAN SYLLABICS WEST-CREE LWAA (U+14E9)"
"U+14EA", "\xe1\x93\xaa", "CANADIAN SYLLABICS L (U+14EA)"
"U+14EB", "\xe1\x93\xab", "CANADIAN SYLLABICS WEST-CREE L (U+14EB)"
"U+14EC", "\xe1\x93\xac", "CANADIAN SYLLABICS MEDIAL L (U+14EC)"
"U+14ED", "\xe1\x93\xad", "CANADIAN SYLLABICS SE (U+14ED)"
"U+14EE", "\xe1\x93\xae", "CANADIAN SYLLABICS SAAI (U+14EE)"
"U+14EF", "\xe1\x93\xaf", "CANADIAN SYLLABICS SI (U+14EF)"
"U+14F0", "\xe1\x93\xb0", "CANADIAN SYLLABICS SII (U+14F0)"
"U+14F1", "\xe1\x93\xb1", "CANADIAN SYLLABICS SO (U+14F1)"
"U+14F2", "\xe1\x93\xb2", "CANADIAN SYLLABICS SOO (U+14F2)"
"U+14F3", "\xe1\x93\xb3", "CANADIAN SYLLABICS Y-CREE SOO (U+14F3)"
"U+14F4", "\xe1\x93\xb4", "CANADIAN SYLLABICS SA (U+14F4)"
"U+14F5", "\xe1\x93\xb5", "CANADIAN SYLLABICS SAA (U+14F5)"
"U+14F6", "\xe1\x93\xb6", "CANADIAN SYLLABICS SWE (U+14F6)"
"U+14F7", "\xe1\x93\xb7", "CANADIAN SYLLABICS WEST-CREE SWE (U+14F7)"
"U+14F8", "\xe1\x93\xb8", "CANADIAN SYLLABICS SWI (U+14F8)"
"U+14F9", "\xe1\x93\xb9", "CANADIAN SYLLABICS WEST-CREE SWI (U+14F9)"
"U+14FA", "\xe1\x93\xba", "CANADIAN SYLLABICS SWII (U+14FA)"
"U+14FB", "\xe1\x93\xbb", "CANADIAN SYLLABICS WEST-CREE SWII (U+14FB)"
"U+14FC", "\xe1\x93\xbc", "CANADIAN SYLLABICS SWO (U+14FC)"
"U+14FD", "\xe1\x93\xbd", "CANADIAN SYLLABICS WEST-CREE SWO (U+14FD)"
"U+14FE", "\xe1\x93\xbe", "CANADIAN SYLLABICS SWOO (U+14FE)"
"U+14FF", "\xe1\x93\xbf", "CANADIAN SYLLABICS WEST-CREE SWOO (U+14FF)"
"U+1500", "\xe1\x94\x80", "CANADIAN SYLLABICS SWA (U+1500)"
"U+1501", "\xe1\x94\x81", "CANADIAN SYLLABICS WEST-CREE SWA (U+1501)"
"U+1502", "\xe1\x94\x82", "CANADIAN SYLLABICS SWAA (U+1502)"
"U+1503", "\xe1\x94\x83", "CANADIAN SYLLABICS WEST-CREE SWAA (U+1503)"
"U+1504", "\xe1\x94\x84", "CANADIAN SYLLABICS NASKAPI SWAA (U+1504)"
"U+1505", "\xe1\x94\x85", "CANADIAN SYLLABICS S (U+1505)"
"U+1506", "\xe1\x94\x86", "CANADIAN SYLLABICS ATHAPASCAN S (U+1506)"
"U+1507", "\xe1\x94\x87", "CANADIAN SYLLABICS SW (U+1507)"
"U+1508", "\xe1\x94\x88", "CANADIAN SYLLABICS BLACKFOOT S (U+1508)"
"U+1509", "\xe1\x94\x89", "CANADIAN SYLLABICS MOOSE-CREE SK (U+1509)"
"U+150A", "\xe1\x94\x8a", "CANADIAN SYLLABICS NASKAPI SKW (U+150A)"
"U+150B", "\xe1\x94\x8b", "CANADIAN SYLLABICS NASKAPI S-W (U+150B)"
"U+150C", "\xe1\x94\x8c", "CANADIAN SYLLABICS NASKAPI SPWA (U+150C)"
"U+150D", "\xe1\x94\x8d", "CANADIAN SYLLABICS NASKAPI STWA (U+150D)"
"U+150E", "\xe1\x94\x8e", "CANADIAN SYLLABICS NASKAPI SKWA (U+150E)"
"U+150F", "\xe1\x94\x8f", "CANADIAN SYLLABICS NASKAPI SCWA (U+150F)"
"U+1510", "\xe1\x94\x90", "CANADIAN SYLLABICS SHE (U+1510)"
"U+1511", "\xe1\x94\x91", "CANADIAN SYLLABICS SHI (U+1511)"
"U+1512", "\xe1\x94\x92", "CANADIAN SYLLABICS SHII (U+1512)"
"U+1513", "\xe1\x94\x93", "CANADIAN SYLLABICS SHO (U+1513)"
"U+1514", "\xe1\x94\x94", "CANADIAN SYLLABICS SHOO (U+1514)"
"U+1515", "\xe1\x94\x95", "CANADIAN SYLLABICS SHA (U+1515)"
"U+1516", "\xe1\x94\x96", "CANADIAN SYLLABICS SHAA (U+1516)"
"U+1517", "\xe1\x94\x97", "CANADIAN SYLLABICS SHWE (U+1517)"
"U+1518", "\xe1\x94\x98", "CANADIAN SYLLABICS WEST-CREE SHWE (U+1518)"
"U+1519", "\xe1\x94\x99", "CANADIAN SYLLABICS SHWI (U+1519)"
"U+151A", "\xe1\x94\x9a", "CANADIAN SYLLABICS WEST-CREE SHWI (U+151A)"
"U+151B", "\xe1\x94\x9b", "CANADIAN SYLLABICS SHWII (U+151B)"
"U+151C", "\xe1\x94\x9c", "CANADIAN SYLLABICS WEST-CREE SHWII (U+151C)"
"U+151D", "\xe1\x94\x9d", "CANADIAN SYLLABICS SHWO (U+151D)"
"U+151E", "\xe1\x94\x9e", "CANADIAN SYLLABICS WEST-CREE SHWO (U+151E)"
"U+151F", "\xe1\x94\x9f", "CANADIAN SYLLABICS SHWOO (U+151F)"
"U+1520", "\xe1\x94\xa0", "CANADIAN SYLLABICS WEST-CREE SHWOO (U+1520)"
"U+1521", "\xe1\x94\xa1", "CANADIAN SYLLABICS SHWA (U+1521)"
