# Halfwidth and Fullwidth Forms
U+FFD6, \xef\xbf\x96, HALFWIDTH HANGUL LETTER WI
U+FFD7, \xef\xbf\x97, HALFWIDTH HANGUL LETTER YU
U+FFDA, \xef\xbf\x9a, HALFWIDTH HANGUL LETTER EU
U+FFDB, \xef\xbf\x9b, HALFWIDTH HANGUL LETTER YI
U+FFDC, \xef\xbf\x9c, HALFWIDTH HANGUL LETTER I
U+FFE0, \xef\xbf\xa0, FULLWIDTH CENT SIGN
U+FFE1, \xef\xbf\xa1, FULLWIDTH POUND SIGN
U+FFE2, \xef\xbf\xa2, FULLWIDTH NOT SIGN
U+FFE3, \xef\xbf\xa3, FULLWIDTH MACRON
U+FFE4, \xef\xbf\xa4, FULLWIDTH BROKEN BAR
U+FFE5, \xef\xbf\xa5, FULLWIDTH YEN SIGN
U+FFE6, \xef\xbf\xa6, FULLWIDTH WON SIGN
U+FFE8, \xef\xbf\xa8, HALFWIDTH FORMS LIGHT VERTICAL
U+FFE9, \xef\xbf\xa9, HALFWIDTH LEFTWARDS ARROW
U+FFEA, \xef\xbf\xaa, HALFWIDTH UPWARDS ARROW
U+FFEB, \xef\xbf\xab, HALFWIDTH RIGHTWARDS ARROW
U+FFEC, \xef\xbf\xac, HALFWIDTH DOWNWARDS ARROW
U+FFED, \xef\xbf\xad, HALFWIDTH BLACK SQUARE
U+FFEE, \xef\xbf\xae, HALFWIDTH WHITE CIRCLE
U+FFF9, \xef\xbf\xb9, INTERLINEAR ANNOTATION ANCHOR
U+FFFA, \xef\xbf\xba, INTERLINEAR ANNOTATION SEPARATOR
U+FFFB, \xef\xbf\xbb, INTERLINEAR ANNOTATION TERMINATOR
U+FFFC, \xef\xbf\xbc, OBJECT REPLACEMENT CHARACTER
U+FFFD, \xef\xbf\xbd, REPLACEMENT CHARACTER
