# Unicode Characters in the Vai Block
# Source: http://www.fileformat.info/info/unicode/block/vai/list.htm
"U+A616", "\xea\x98\x96", "VAI SYMBOL NII (U+A616)"
"U+A617", "\xea\x98\x97", "VAI SYMBOL BANG (U+A617)"
"U+A618", "\xea\x98\x98", "VAI SYMBOL FAA (U+A618)"
"U+A619", "\xea\x98\x99", "VAI SYMBOL TAA (U+A619)"
"U+A61A", "\xea\x98\x9a", "VAI SYMBOL DANG (U+A61A)"
"U+A61B", "\xea\x98\x9b", "VAI SYMBOL DOONG (U+A61B)"
"U+A61C", "\xea\x98\x9c", "VAI SYMBOL KUNG (U+A61C)"
"U+A61D", "\xea\x98\x9d", "VAI SYMBOL TONG (U+A61D)"
"U+A61E", "\xea\x98\x9e", "VAI SYMBOL DO-O (U+A61E)"
"U+A61F", "\xea\x98\x9f", "VAI SYMBOL JONG (U+A61F)"
"U+A620", "\xea\x98\xa0", "VAI DIGIT ZERO (U+A620)"
"U+A621", "\xea\x98\xa1", "VAI DIGIT ONE (U+A621)"
"U+A622", "\xea\x98\xa2", "VAI DIGIT TWO (U+A622)"
"U+A623", "\xea\x98\xa3", "VAI DIGIT THREE (U+A623)"
"U+A624", "\xea\x98\xa4", "VAI DIGIT FOUR (U+A624)"
"U+A625", "\xea\x98\xa5", "VAI DIGIT FIVE (U+A625)"
"U+A626", "\xea\x98\xa6", "VAI DIGIT SIX (U+A626)"
"U+A627", "\xea\x98\xa7", "VAI DIGIT SEVEN (U+A627)"
"U+A628", "\xea\x98\xa8", "VAI DIGIT EIGHT (U+A628)"
"U+A629", "\xea\x98\xa9", "VAI DIGIT NINE (U+A629)"
"U+A62A", "\xea\x98\xaa", "VAI SYLLABLE NDOLE MA (U+A62A)"
"U+A62B", "\xea\x98\xab", "VAI SYLLABLE NDOLE DO (U+A62B)"
