# Unicode Characters in the Mathematical Operators Block
# Source: http://www.fileformat.info/info/unicode/block/mathematical_operators/list.htm
"U+22F0", "\xe2\x8b\xb0", "UP RIGHT DIAGONAL ELLIPSIS (U+22F0)"
"U+22F1", "\xe2\x8b\xb1", "DOWN RIGHT DIAGONAL ELLIPSIS (U+22F1)"
"U+22F2", "\xe2\x8b\xb2", "ELEMENT OF WITH LONG HORIZONTAL STROKE (U+22F2)"
"U+22F3", "\xe2\x8b\xb3", "ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE (U+22F3)"
"U+22F4", "\xe2\x8b\xb4", "SMALL ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE (U+22F4)"
"U+22F5", "\xe2\x8b\xb5", "ELEMENT OF WITH DOT ABOVE (U+22F5)"
"U+22F6", "\xe2\x8b\xb6", "ELEMENT OF WITH OVERBAR (U+22F6)"
"U+22F7", "\xe2\x8b\xb7", "SMALL ELEMENT OF WITH OVERBAR (U+22F7)"
"U+22F8", "\xe2\x8b\xb8", "ELEMENT OF WITH UNDERBAR (U+22F8)"
"U+22F9", "\xe2\x8b\xb9", "ELEMENT OF WITH TWO HORIZONTAL STROKES (U+22F9)"
"U+22FA", "\xe2\x8b\xba", "CONTAINS WITH LONG HORIZONTAL STROKE (U+22FA)"
"U+22FB", "\xe2\x8b\xbb", "CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE (U+22FB)"
"U+22FC", "\xe2\x8b\xbc", "SMALL CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE (U+22FC)"
"U+22FD", "\xe2\x8b\xbd", "CONTAINS WITH OVERBAR (U+22FD)"
"U+22FE", "\xe2\x8b\xbe", "SMALL CONTAINS WITH OVERBAR (U+22FE)"
"U+22FF", "\xe2\x8b\xbf", "Z NOTATION BAG MEMBERSHIP (U+22FF)"
