# Unicode Characters in the Hangul Jamo Block
# Source: http://www.fileformat.info/info/unicode/block/hangul_jamo/list.htm
"U+119D", "\xe1\x86\x9d", "HANGUL JUNGSEONG I-ARAEA (U+119D)"
"U+119E", "\xe1\x86\x9e", "HANGUL JUNGSEONG ARAEA (U+119E)"
"U+119F", "\xe1\x86\x9f", "HANGUL JUNGSEONG ARAEA-EO (U+119F)"
"U+11A0", "\xe1\x86\xa0", "HANGUL JUNGSEONG ARAEA-U (U+11A0)"
"U+11A1", "\xe1\x86\xa1", "HANGUL JUNGSEONG ARAEA-I (U+11A1)"
"U+11A2", "\xe1\x86\xa2", "HANGUL JUNGSEONG SSANGARAEA (U+11A2)"
"U+11A3", "\xe1\x86\xa3", "HANGUL JUNGSEONG A-EU (U+11A3)"
"U+11A4", "\xe1\x86\xa4", "HANGUL JUNGSEONG YA-U (U+11A4)"
"U+11A5", "\xe1\x86\xa5", "HANGUL JUNGSEONG YEO-YA (U+11A5)"
"U+11A6", "\xe1\x86\xa6", "HANGUL JUNGSEONG O-YA (U+11A6)"
"U+11A7", "\xe1\x86\xa7", "HANGUL JUNGSEONG O-YAE (U+11A7)"
"U+11A8", "\xe1\x86\xa8", "HANGUL JONGSEONG KIYEOK (U+11A8)"
"U+11A9", "\xe1\x86\xa9", "HANGUL JONGSEONG SSANGKIYEOK (U+11A9)"
"U+11AA", "\xe1\x86\xaa", "HANGUL JONGSEONG KIYEOK-SIOS (U+11AA)"
"U+11AB", "\xe1\x86\xab", "HANGUL JONGSEONG NIEUN (U+11AB)"
"U+11AC", "\xe1\x86\xac", "HANGUL JONGSEONG NIEUN-CIEUC (U+11AC)"
"U+11AD", "\xe1\x86\xad", "HANGUL JONGSEONG NIEUN-HIEUH (U+11AD)"
"U+11AE", "\xe1\x86\xae", "HANGUL JONGSEONG TIKEUT (U+11AE)"
"U+11AF", "\xe1\x86\xaf", "HANGUL JONGSEONG RIEUL (U+11AF)"
"U+11B0", "\xe1\x86\xb0", "HANGUL JONGSEONG RIEUL-KIYEOK (U+11B0)"
"U+11B1", "\xe1\x86\xb1", "HANGUL JONGSEONG RIEUL-MIEUM (U+11B1)"
"U+11B2", "\xe1\x86\xb2", "HANGUL JONGSEONG RIEUL-PIEUP (U+11B2)"
"U+11B3", "\xe1\x86\xb3", "HANGUL JONGSEONG RIEUL-SIOS (U+11B3)"
"U+11B4", "\xe1\x86\xb4", "HANGUL JONGSEONG RIEUL-THIEUTH (U+11B4)"
"U+11B5", "\xe1\x86\xb5", "HANGUL JONGSEONG RIEUL-PHIEUPH (U+11B5)"
"U+11B6", "\xe1\x86\xb6", "HANGUL JONGSEONG RIEUL-HIEUH (U+11B6)"
"U+11B7", "\xe1\x86\xb7", "HANGUL JONGSEONG MIEUM (U+11B7)"
"U+11B8", "\xe1\x86\xb8", "HANGUL JONGSEONG PIEUP (U+11B8)"
"U+11B9", "\xe1\x86\xb9", "HANGUL JONGSEONG PIEUP-SIOS (U+11B9)"
"U+11BA", "\xe1\x86\xba", "HANGUL JONGSEONG SIOS (U+11BA)"
"U+11BB", "\xe1\x86\xbb", "HANGUL JONGSEONG SSANGSIOS (U+11BB)"
"U+11BC", "\xe1\x86\xbc", "HANGUL JONGSEONG IEUNG (U+11BC)"
"U+11BD", "\xe1\x86\xbd", "HANGUL JONGSEONG CIEUC (U+11BD)"
"U+11BE", "\xe1\x86\xbe", "HANGUL JONGSEONG CHIEUCH (U+11BE)"
"U+11BF", "\xe1\x86\xbf", "HANGUL JONGSEONG KHIEUKH (U+11BF)"
"U+11C0", "\xe1\x87\x80", "HANGUL JONGSEONG THIEUTH (U+11C0)"
"U+11C1", "\xe1\x87\x81", "HANGUL JONGSEONG PHIEUPH (U+11C1)"
"U+11C2", "\xe1\x87\x82", "HANGUL JONGSEONG HIEUH (U+11C2)"
"U+11C3", "\xe1\x87\x83", "HANGUL JONGSEONG KIYEOK-RIEUL (U+11C3)"
"U+11C4", "\xe1\x87\x84", "HANGUL JONGSEONG KIYEOK-SIOS-KIYEOK (U+11C4)"
"U+11C5", "\xe1\x87\x85", "HANGUL JONGSEONG NIEUN-KIYEOK (U+11C5)"
"U+11C6", "\xe1\x87\x86", "HANGUL JONGSEONG NIEUN-TIKEUT (U+11C6)"
"U+11C7", "\xe1\x87\x87", "HANGUL JONGSEONG NIEUN-SIOS (U+11C7)"
"U+11C8", "\xe1\x87\x88", "HANGUL JONGSEONG NIEUN-PANSIOS (U+11C8)"
"U+11C9", "\xe1\x87\x89", "HANGUL JONGSEONG NIEUN-THIEUTH (U+11C9)"
"U+11CA", "\xe1\x87\x8a", "HANGUL JONGSEONG TIKEUT-KIYEOK (U+11CA)"
"U+11CB", "\xe1\x87\x8b", "HANGUL JONGSEONG TIKEUT-RIEUL (U+11CB)"
"U+11CC", "\xe1\x87\x8c", "HANGUL JONGSEONG RIEUL-KIYEOK-SIOS (U+11CC)"
"U+11CD", "\xe1\x87\x8d", "HANGUL JONGSEONG RIEUL-NIEUN (U+11CD)"
"U+11CE", "\xe1\x87\x8e", "HANGUL JONGSEONG RIEUL-TIKEUT (U+11CE)"
"U+11CF", "\xe1\x87\x8f", "HANGUL JONGSEONG RIEUL-TIKEUT-HIEUH (U+11CF)"
"U+11D0", "\xe1\x87\x90", "HANGUL JONGSEONG SSANGRIEUL (U+11D0)"
"U+11D1", "\xe1\x87\x91", "HANGUL JONGSEONG RIEUL-MIEUM-KIYEOK (U+11D1)"
"U+11D2", "\xe1\x87\x92", "HANGUL JONGSEONG RIEUL-MIEUM-SIOS (U+11D2)"
"U+11D3", "\xe1\x87\x93", "HANGUL JONGSEONG RIEUL-PIEUP-SIOS (U+11D3)"
"U+11D4", "\xe1\x87\x94", "HANGUL JONGSEONG RIEUL-PIEUP-HIEUH (U+11D4)"
"U+11D5", "\xe1\x87\x95", "HANGUL JONGSEONG RIEUL-KAPYEOUNPIEUP (U+11D5)"
"U+11D6", "\xe1\x87\x96", "HANGUL JONGSEONG RIEUL-SSANGSIOS (U+11D6)"
"U+11D7", "\xe1\x87\x97", "HANGUL JONGSEONG RIEUL-PANSIOS (U+11D7)"
"U+11D8", "\xe1\x87\x98", "HANGUL JONGSEONG RIEUL-KHIEUKH (U+11D8)"
"U+11D9", "\xe1\x87\x99", "HANGUL JONGSEONG RIEUL-YEORINHIEUH (U+11D9)"
"U+11DA", "\xe1\x87\x9a", "HANGUL JONGSEONG MIEUM-KIYEOK (U+11DA)"
"U+11DB", "\xe1\x87\x9b", "HANGUL JONGSEONG MIEUM-RIEUL (U+11DB)"
"U+11DC", "\xe1\x87\x9c", "HANGUL JONGSEONG MIEUM-PIEUP (U+11DC)"
"U+11DD", "\xe1\x87\x9d", "HANGUL JONGSEONG MIEUM-SIOS (U+11DD)"
"U+11DE", "\xe1\x87\x9e", "HANGUL JONGSEONG MIEUM-SSANGSIOS (U+11DE)"
"U+11DF", "\xe1\x87\x9f", "HANGUL JONGSEONG MIEUM-PANSIOS (U+11DF)"
"U+11E0", "\xe1\x87\xa0", "HANGUL JONGSEONG MIEUM-CHIEUCH (U+11E0)"
"U+11E1", "\xe1\x87\xa1", "HANGUL JONGSEONG MIEUM-HIEUH (U+11E1)"
"U+11E2", "\xe1\x87\xa2", "HANGUL JONGSEONG KAPYEOUNMIEUM (U+11E2)"
"U+11E3", "\xe1\x87\xa3", "HANGUL JONGSEONG PIEUP-RIEUL (U+11E3)"
"U+11E4", "\xe1\x87\xa4", "HANGUL JONGSEONG PIEUP-PHIEUPH (U+11E4)"
"U+11E5", "\xe1\x87\xa5", "HANGUL JONGSEONG PIEUP-HIEUH (U+11E5)"
"U+11E6", "\xe1\x87\xa6", "HANGUL JONGSEONG KAPYEOUNPIEUP (U+11E6)"
"U+11E7", "\xe1\x87\xa7", "HANGUL JONGSEONG SIOS-KIYEOK (U+11E7)"
"U+11E8", "\xe1\x87\xa8", "HANGUL JONGSEONG SIOS-TIKEUT (U+11E8)"
"U+11E9", "\xe1\x87\xa9", "HANGUL JONGSEONG SIOS-RIEUL (U+11E9)"
"U+11EA", "\xe1\x87\xaa", "HANGUL JONGSEONG SIOS-PIEUP (U+11EA)"
"U+11EB", "\xe1\x87\xab", "HANGUL JONGSEONG PANSIOS (U+11EB)"
"U+11EC", "\xe1\x87\xac", "HANGUL JONGSEONG IEUNG-KIYEOK (U+11EC)"
"U+11ED", "\xe1\x87\xad", "HANGUL JONGSEONG IEUNG-SSANGKIYEOK (U+11ED)"
"U+11EE", "\xe1\x87\xae", "HANGUL JONGSEONG SSANGIEUNG (U+11EE)"
"U+11EF", "\xe1\x87\xaf", "HANGUL JONGSEONG IEUNG-KHIEUKH (U+11EF)"
"U+11F0", "\xe1\x87\xb0", "HANGUL JONGSEONG YESIEUNG (U+11F0)"
"U+11F1", "\xe1\x87\xb1", "HANGUL JONGSEONG YESIEUNG-SIOS (U+11F1)"
"U+11F2", "\xe1\x87\xb2", "HANGUL JONGSEONG YESIEUNG-PANSIOS (U+11F2)"
"U+11F3", "\xe1\x87\xb3", "HANGUL JONGSEONG PHIEUPH-PIEUP (U+11F3)"
"U+11F4", "\xe1\x87\xb4", "HANGUL JONGSEONG KAPYEOUNPHIEUPH (U+11F4)"
"U+11F5", "\xe1\x87\xb5", "HANGUL JONGSEONG HIEUH-NIEUN (U+11F5)"
"U+11F6", "\xe1\x87\xb6", "HANGUL JONGSEONG HIEUH-RIEUL (U+11F6)"
"U+11F7", "\xe1\x87\xb7", "HANGUL JONGSEONG HIEUH-MIEUM (U+11F7)"
"U+11F8", "\xe1\x87\xb8", "HANGUL JONGSEONG HIEUH-PIEUP (U+11F8)"
"U+11F9", "\xe1\x87\xb9", "HANGUL JONGSEONG YEORINHIEUH (U+11F9)"
"U+11FA", "\xe1\x87\xba", "HANGUL JONGSEONG KIYEOK-NIEUN (U+11FA)"
"U+11FB", "\xe1\x87\xbb", "HANGUL JONGSEONG KIYEOK-PIEUP (U+11FB)"
"U+11FC", "\xe1\x87\xbc", "HANGUL JONGSEONG KIYEOK-CHIEUCH (U+11FC)"
"U+11FD", "\xe1\x87\xbd", "HANGUL JONGSEONG KIYEOK-KHIEUKH (U+11FD)"
"U+11FE", "\xe1\x87\xbe", "HANGUL JONGSEONG KIYEOK-HIEUH (U+11FE)"
"U+11FF", "\xe1\x87\xbf", "HANGUL JONGSEONG SSANGNIEUN (U+11FF)"
