# Tifinagh
U+2DFA, \xe2\xb7\xba, COMBINING CYRILLIC LETTER YAT
U+2DFB, \xe2\xb7\xbb, COMBINING CYRILLIC LETTER YU
U+2DFC, \xe2\xb7\xbc, COMBINING CYRILLIC LETTER IOTIFIED A
U+2DFD, \xe2\xb7\xbd, COMBINING CYRILLIC LETTER LITTLE YUS
U+2DFE, \xe2\xb7\xbe, COMBINING CYRILLIC LETTER BIG YUS
U+2DFF, \xe2\xb7\xbf, COMBINING CYRILLIC LETTER IOTIFIED BIG YUS
U+2E00, \xe2\xb8\x80, RIGHT ANGLE SUBSTITUTION MARKER
U+2E01, \xe2\xb8\x81, RIGHT ANGLE DOTTED SUBSTITUTION MARKER
U+2E02, \xe2\xb8\x82, LEFT SUBSTITUTION BRACKET
U+2E03, \xe2\xb8\x83, RIGHT SUBSTITUTION BRACKET
U+2E04, \xe2\xb8\x84, LEFT DOTTED SUBSTITUTION BRACKET
U+2E05, \xe2\xb8\x85, RIGHT DOTTED SUBSTITUTION BRACKET
U+2E06, \xe2\xb8\x86, RAISED INTERPOLATION MARKER
U+2E07, \xe2\xb8\x87, RAISED DOTTED INTERPOLATION MARKER
U+2E08, \xe2\xb8\x88, DOTTED TRANSPOSITION MARKER
U+2E09, \xe2\xb8\x89, LEFT TRANSPOSITION BRACKET
U+2E0A, \xe2\xb8\x8a, RIGHT TRANSPOSITION BRACKET
U+2E0B, \xe2\xb8\x8b, RAISED SQUARE
U+2E0C, \xe2\xb8\x8c, LEFT RAISED OMISSION BRACKET
U+2E0D, \xe2\xb8\x8d, RIGHT RAISED OMISSION BRACKET
U+2E0E, \xe2\xb8\x8e, EDITORIAL CORONIS
U+2E0F, \xe2\xb8\x8f, PARAGRAPHOS
U+2E10, \xe2\xb8\x90, FORKED PARAGRAPHOS
U+2E11, \xe2\xb8\x91, REVERSED FORKED PARAGRAPHOS
U+2E12, \xe2\xb8\x92, HYPODIASTOLE
U+2E13, \xe2\xb8\x93, DOTTED OBELOS
U+2E14, \xe2\xb8\x94, DOWNWARDS ANCORA
U+2E15, \xe2\xb8\x95, UPWARDS ANCORA
U+2E16, \xe2\xb8\x96, DOTTED RIGHT-POINTING ANGLE
U+2E17, \xe2\xb8\x97, DOUBLE OBLIQUE HYPHEN
U+2E18, \xe2\xb8\x98, INVERTED INTERROBANG
U+2E19, \xe2\xb8\x99, PALM BRANCH
U+2E1A, \xe2\xb8\x9a, HYPHEN WITH DIAERESIS
