# Specials
U+FFF9, \xef\xbf\xb9, INTERLINEAR ANNOTATION ANCHOR
U+FFFA, \xef\xbf\xba, INTERLINEAR ANNOTATION SEPARATOR
U+FFFB, \xef\xbf\xbb, INTERLINEAR ANNOTATION TERMINATOR
U+FFFC, \xef\xbf\xbc, OBJECT REPLACEMENT CHARACTER
U+100DD, \xf0\x90\x83\x9d, LINEAR B IDEOGRAM B259
U+100DE, \xf0\x90\x83\x9e, LINEAR B IDEOGRAM VESSEL B155
U+100DF, \xf0\x90\x83\x9f, LINEAR B IDEOGRAM VESSEL B200
U+100E0, \xf0\x90\x83\xa0, LINEAR B IDEOGRAM VESSEL B201
U+100E1, \xf0\x90\x83\xa1, LINEAR B IDEOGRAM VESSEL B202
U+100E2, \xf0\x90\x83\xa2, LINEAR B IDEOGRAM VESSEL B203
U+100E3, \xf0\x90\x83\xa3, LINEAR B IDEOGRAM VESSEL B204
U+100E4, \xf0\x90\x83\xa4, LINEAR B IDEOGRAM VESSEL B205
U+100E5, \xf0\x90\x83\xa5, LINEAR B IDEOGRAM VESSEL B206
U+100E6, \xf0\x90\x83\xa6, LINEAR B IDEOGRAM VESSEL B207
U+100E7, \xf0\x90\x83\xa7, LINEAR B IDEOGRAM VESSEL B208
U+100E8, \xf0\x90\x83\xa8, LINEAR B IDEOGRAM VESSEL B209
U+100E9, \xf0\x90\x83\xa9, LINEAR B IDEOGRAM VESSEL B210
U+100EA, \xf0\x90\x83\xaa, LINEAR B IDEOGRAM VESSEL B211
U+100EB, \xf0\x90\x83\xab, LINEAR B IDEOGRAM VESSEL B212
U+100EC, \xf0\x90\x83\xac, LINEAR B IDEOGRAM VESSEL B213
U+100ED, \xf0\x90\x83\xad, LINEAR B IDEOGRAM VESSEL B214
U+100EE, \xf0\x90\x83\xae, LINEAR B IDEOGRAM VESSEL B215
U+100EF, \xf0\x90\x83\xaf, LINEAR B IDEOGRAM VESSEL B216
