# Unicode Characters in the Egyptian Hieroglyphs Block
# Source: http://www.fileformat.info/info/unicode/block/egyptian_hieroglyphs/list.htm
"U+130A5", "\xe1\x8c\x8a\x35", "EGYPTIAN HIEROGLYPH D044 (U+130A5)"
"U+130A6", "\xe1\x8c\x8a\x36", "EGYPTIAN HIEROGLYPH D045 (U+130A6)"
"U+130A7", "\xe1\x8c\x8a\x37", "EGYPTIAN HIEROGLYPH D046 (U+130A7)"
"U+130A8", "\xe1\x8c\x8a\x38", "EGYPTIAN HIEROGLYPH D046A (U+130A8)"
"U+130A9", "\xe1\x8c\x8a\x39", "EGYPTIAN HIEROGLYPH D047 (U+130A9)"
"U+130AA", "\xe1\x8c\x8a\x41", "EGYPTIAN HIEROGLYPH D048 (U+130AA)"
"U+130AB", "\xe1\x8c\x8a\x42", "EGYPTIAN HIEROGLYPH D048A (U+130AB)"
"U+130AC", "\xe1\x8c\x8a\x43", "EGYPTIAN HIEROGLYPH D049 (U+130AC)"
"U+130AD", "\xe1\x8c\x8a\x44", "EGYPTIAN HIEROGLYPH D050 (U+130AD)"
"U+130AE", "\xe1\x8c\x8a\x45", "EGYPTIAN HIEROGLYPH D050A (U+130AE)"
"U+130AF", "\xe1\x8c\x8a\x46", "EGYPTIAN HIEROGLYPH D050B (U+130AF)"
"U+130B0", "\xe1\x8c\x8b\x30", "EGYPTIAN HIEROGLYPH D050C (U+130B0)"
"U+130B1", "\xe1\x8c\x8b\x31", "EGYPTIAN HIEROGLYPH D050D (U+130B1)"
"U+130B2", "\xe1\x8c\x8b\x32", "EGYPTIAN HIEROGLYPH D050E (U+130B2)"
"U+130B3", "\xe1\x8c\x8b\x33", "EGYPTIAN HIEROGLYPH D050F (U+130B3)"
"U+130B4", "\xe1\x8c\x8b\x34", "EGYPTIAN HIEROGLYPH D050G (U+130B4)"
"U+130B5", "\xe1\x8c\x8b\x35", "EGYPTIAN HIEROGLYPH D050H (U+130B5)"
"U+130B6", "\xe1\x8c\x8b\x36", "EGYPTIAN HIEROGLYPH D050I (U+130B6)"
"U+130B7", "\xe1\x8c\x8b\x37", "EGYPTIAN HIEROGLYPH D051 (U+130B7)"
"U+130B8", "\xe1\x8c\x8b\x38", "EGYPTIAN HIEROGLYPH D052 (U+130B8)"
"U+130B9", "\xe1\x8c\x8b\x39", "EGYPTIAN HIEROGLYPH D052A (U+130B9)"
"U+130BA", "\xe1\x8c\x8b\x41", "EGYPTIAN HIEROGLYPH D053 (U+130BA)"
"U+130BB", "\xe1\x8c\x8b\x42", "EGYPTIAN HIEROGLYPH D054 (U+130BB)"
"U+130BC", "\xe1\x8c\x8b\x43", "EGYPTIAN HIEROGLYPH D054A (U+130BC)"
"U+130BD", "\xe1\x8c\x8b\x44", "EGYPTIAN HIEROGLYPH D055 (U+130BD)"
"U+130BE", "\xe1\x8c\x8b\x45", "EGYPTIAN HIEROGLYPH D056 (U+130BE)"
"U+130BF", "\xe1\x8c\x8b\x46", "EGYPTIAN HIEROGLYPH D057 (U+130BF)"
"U+130C0", "\xe1\x8c\x8c\x30", "EGYPTIAN HIEROGLYPH D058 (U+130C0)"
"U+130C1", "\xe1\x8c\x8c\x31", "EGYPTIAN HIEROGLYPH D059 (U+130C1)"
"U+130C2", "\xe1\x8c\x8c\x32", "EGYPTIAN HIEROGLYPH D060 (U+130C2)"
"U+130C3", "\xe1\x8c\x8c\x33", "EGYPTIAN HIEROGLYPH D061 (U+130C3)"
"U+130C4", "\xe1\x8c\x8c\x34", "EGYPTIAN HIEROGLYPH D062 (U+130C4)"
"U+130C5", "\xe1\x8c\x8c\x35", "EGYPTIAN HIEROGLYPH D063 (U+130C5)"
"U+130C6", "\xe1\x8c\x8c\x36", "EGYPTIAN HIEROGLYPH D064 (U+130C6)"
"U+130C7", "\xe1\x8c\x8c\x37", "EGYPTIAN HIEROGLYPH D065 (U+130C7)"
"U+130C8", "\xe1\x8c\x8c\x38", "EGYPTIAN HIEROGLYPH D066 (U+130C8)"
"U+130C9", "\xe1\x8c\x8c\x39", "EGYPTIAN HIEROGLYPH D067 (U+130C9)"
"U+130CA", "\xe1\x8c\x8c\x41", "EGYPTIAN HIEROGLYPH D067A (U+130CA)"
"U+130CB", "\xe1\x8c\x8c\x42", "EGYPTIAN HIEROGLYPH D067B (U+130CB)"
"U+130CC", "\xe1\x8c\x8c\x43", "EGYPTIAN HIEROGLYPH D067C (U+130CC)"
"U+130CD", "\xe1\x8c\x8c\x44", "EGYPTIAN HIEROGLYPH D067D (U+130CD)"
"U+130CE", "\xe1\x8c\x8c\x45", "EGYPTIAN HIEROGLYPH D067E (U+130CE)"
"U+130CF", "\xe1\x8c\x8c\x46", "EGYPTIAN HIEROGLYPH D067F (U+130CF)"
"U+130D0", "\xe1\x8c\x8d\x30", "EGYPTIAN HIEROGLYPH D067G (U+130D0)"
"U+130D1", "\xe1\x8c\x8d\x31", "EGYPTIAN HIEROGLYPH D067H (U+130D1)"
"U+130D2", "\xe1\x8c\x8d\x32", "EGYPTIAN HIEROGLYPH E001 (U+130D2)"
"U+130D3", "\xe1\x8c\x8d\x33", "EGYPTIAN HIEROGLYPH E002 (U+130D3)"
"U+130D4", "\xe1\x8c\x8d\x34", "EGYPTIAN HIEROGLYPH E003 (U+130D4)"
"U+130D5", "\xe1\x8c\x8d\x35", "EGYPTIAN HIEROGLYPH E004 (U+130D5)"
"U+130D6", "\xe1\x8c\x8d\x36", "EGYPTIAN HIEROGLYPH E005 (U+130D6)"
"U+130D7", "\xe1\x8c\x8d\x37", "EGYPTIAN HIEROGLYPH E006 (U+130D7)"
"U+130D8", "\xe1\x8c\x8d\x38", "EGYPTIAN HIEROGLYPH E007 (U+130D8)"
"U+130D9", "\xe1\x8c\x8d\x39", "EGYPTIAN HIEROGLYPH E008 (U+130D9)"
"U+130DA", "\xe1\x8c\x8d\x41", "EGYPTIAN HIEROGLYPH E008A (U+130DA)"
"U+130DB", "\xe1\x8c\x8d\x42", "EGYPTIAN HIEROGLYPH E009 (U+130DB)"
"U+130DC", "\xe1\x8c\x8d\x43", "EGYPTIAN HIEROGLYPH E009A (U+130DC)"
"U+130DD", "\xe1\x8c\x8d\x44", "EGYPTIAN HIEROGLYPH E010 (U+130DD)"
"U+130DE", "\xe1\x8c\x8d\x45", "EGYPTIAN HIEROGLYPH E011 (U+130DE)"
"U+130DF", "\xe1\x8c\x8d\x46", "EGYPTIAN HIEROGLYPH E012 (U+130DF)"
"U+130E0", "\xe1\x8c\x8e\x30", "EGYPTIAN HIEROGLYPH E013 (U+130E0)"
"U+130E1", "\xe1\x8c\x8e\x31", "EGYPTIAN HIEROGLYPH E014 (U+130E1)"
"U+130E2", "\xe1\x8c\x8e\x32", "EGYPTIAN HIEROGLYPH E015 (U+130E2)"
"U+130E3", "\xe1\x8c\x8e\x33", "EGYPTIAN HIEROGLYPH E016 (U+130E3)"
