# Kanbun
U+323F, \xe3\x88\xbf, PARENTHESIZED IDEOGRAPH ALLIANCE
U+3240, \xe3\x89\x80, PARENTHESIZED IDEOGRAPH FESTIVAL
U+3241, \xe3\x89\x81, PARENTHESIZED IDEOGRAPH REST
U+3242, \xe3\x89\x82, PARENTHESIZED IDEOGRAPH SELF
U+3243, \xe3\x89\x83, PARENTHESIZED IDEOGRAPH REACH
U+3244, \xe3\x89\x84, CIRCLED IDEOGRAPH QUESTION
U+3245, \xe3\x89\x85, CIRCLED IDEOGRAPH KINDERGARTEN
U+3246, \xe3\x89\x86, CIRCLED IDEOGRAPH SCHOOL
U+3247, \xe3\x89\x87, CIRCLED IDEOGRAPH KOTO
U+3248, \xe3\x89\x88, CIRCLED NUMBER TEN ON BLACK SQUARE
U+3249, \xe3\x89\x89, CIRCLED NUMBER TWENTY ON BLACK SQUARE
U+324A, \xe3\x89\x8a, CIRCLED NUMBER THIRTY ON BLACK SQUARE
U+324B, \xe3\x89\x8b, CIRCLED NUMBER FORTY ON BLACK SQUARE
U+324C, \xe3\x89\x8c, CIRCLED NUMBER FIFTY ON BLACK SQUARE
U+324D, \xe3\x89\x8d, CIRCLED NUMBER SIXTY ON BLACK SQUARE
U+324E, \xe3\x89\x8e, CIRCLED NUMBER SEVENTY ON BLACK SQUARE
U+324F, \xe3\x89\x8f, CIRCLED NUMBER EIGHTY ON BLACK SQUARE
U+3250, \xe3\x89\x90, PARTNERSHIP SIGN
U+3251, \xe3\x89\x91, CIRCLED NUMBER TWENTY ONE
U+3252, \xe3\x89\x92, CIRCLED NUMBER TWENTY TWO
U+3253, \xe3\x89\x93, CIRCLED NUMBER TWENTY THREE
U+3254, \xe3\x89\x94, CIRCLED NUMBER TWENTY FOUR
U+3255, \xe3\x89\x95, CIRCLED NUMBER TWENTY FIVE
U+3256, \xe3\x89\x96, CIRCLED NUMBER TWENTY SIX
U+3257, \xe3\x89\x97, CIRCLED NUMBER TWENTY SEVEN
U+3258, \xe3\x89\x98, CIRCLED NUMBER TWENTY EIGHT
U+3259, \xe3\x89\x99, CIRCLED NUMBER TWENTY NINE
U+325A, \xe3\x89\x9a, CIRCLED NUMBER THIRTY
U+325B, \xe3\x89\x9b, CIRCLED NUMBER THIRTY ONE
U+325C, \xe3\x89\x9c, CIRCLED NUMBER THIRTY TWO
U+325D, \xe3\x89\x9d, CIRCLED NUMBER THIRTY THREE
U+325E, \xe3\x89\x9e, CIRCLED NUMBER THIRTY FOUR
U+325F, \xe3\x89\x9f, CIRCLED NUMBER THIRTY FIVE
U+3260, \xe3\x89\xa0, CIRCLED HANGUL KIYEOK
U+3261, \xe3\x89\xa1, CIRCLED HANGUL NIEUN
U+3262, \xe3\x89\xa2, CIRCLED HANGUL TIKEUT
U+3263, \xe3\x89\xa3, CIRCLED HANGUL RIEUL
U+3264, \xe3\x89\xa4, CIRCLED HANGUL MIEUM
U+3265, \xe3\x89\xa5, CIRCLED HANGUL PIEUP
U+3266, \xe3\x89\xa6, CIRCLED HANGUL SIOS
U+3267, \xe3\x89\xa7, CIRCLED HANGUL IEUNG
U+3268, \xe3\x89\xa8, CIRCLED HANGUL CIEUC
U+3269, \xe3\x89\xa9, CIRCLED HANGUL CHIEUCH
U+326A, \xe3\x89\xaa, CIRCLED HANGUL KHIEUKH
U+326B, \xe3\x89\xab, CIRCLED HANGUL THIEUTH
