# Unicode Characters in the Miscellaneous Technical Block
# Source: http://www.fileformat.info/info/unicode/block/miscellaneous_technical/list.htm
"U+2383", "\xe2\x8e\x83", "EMPHASIS SYMBOL (U+2383)"
"U+2384", "\xe2\x8e\x84", "COMPOSITION SYMBOL (U+2384)"
"U+2385", "\xe2\x8e\x85", "WHITE SQUARE WITH CENTRE VERTICAL LINE (U+2385)"
"U+2386", "\xe2\x8e\x86", "ENTER SYMBOL (U+2386)"
"U+2387", "\xe2\x8e\x87", "ALTERNATIVE KEY SYMBOL (U+2387)"
"U+2388", "\xe2\x8e\x88", "HELM SYMBOL (U+2388)"
"U+2389", "\xe2\x8e\x89", "CIRCLED HORIZONTAL BAR WITH NOTCH (U+2389)"
"U+238A", "\xe2\x8e\x8a", "CIRCLED TRIANGLE DOWN (U+238A)"
"U+238B", "\xe2\x8e\x8b", "BROKEN CIRCLE WITH NORTHWEST ARROW (U+238B)"
"U+238C", "\xe2\x8e\x8c", "UNDO SYMBOL (U+238C)"
"U+238D", "\xe2\x8e\x8d", "MONOSTABLE SYMBOL (U+238D)"
"U+238E", "\xe2\x8e\x8e", "HYSTERESIS SYMBOL (U+238E)"
"U+238F", "\xe2\x8e\x8f", "OPEN-CIRCUIT-OUTPUT H-TYPE SYMBOL (U+238F)"
"U+2390", "\xe2\x8e\x90", "OPEN-CIRCUIT-OUTPUT L-TYPE SYMBOL (U+2390)"
"U+2391", "\xe2\x8e\x91", "PASSIVE-PULL-DOWN-OUTPUT SYMBOL (U+2391)"
"U+2392", "\xe2\x8e\x92", "PASSIVE-PULL-UP-OUTPUT SYMBOL (U+2392)"
"U+2393", "\xe2\x8e\x93", "DIRECT CURRENT SYMBOL FORM TWO (U+2393)"
"U+2394", "\xe2\x8e\x94", "SOFTWARE-FUNCTION SYMBOL (U+2394)"
"U+2395", "\xe2\x8e\x95", "APL FUNCTIONAL SYMBOL QUAD (U+2395)"
"U+2396", "\xe2\x8e\x96", "DECIMAL SEPARATOR KEY SYMBOL (U+2396)"
"U+2397", "\xe2\x8e\x97", "PREVIOUS PAGE (U+2397)"
"U+2398", "\xe2\x8e\x98", "NEXT PAGE (U+2398)"
"U+2399", "\xe2\x8e\x99", "PRINT SCREEN SYMBOL (U+2399)"
"U+239A", "\xe2\x8e\x9a", "CLEAR SCREEN SYMBOL (U+239A)"
"U+239B", "\xe2\x8e\x9b", "LEFT PARENTHESIS UPPER HOOK (U+239B)"
"U+239C", "\xe2\x8e\x9c", "LEFT PARENTHESIS EXTENSION (U+239C)"
"U+239D", "\xe2\x8e\x9d", "LEFT PARENTHESIS LOWER HOOK (U+239D)"
"U+239E", "\xe2\x8e\x9e", "RIGHT PARENTHESIS UPPER HOOK (U+239E)"
"U+239F", "\xe2\x8e\x9f", "RIGHT PARENTHESIS EXTENSION (U+239F)"
"U+23A0", "\xe2\x8e\xa0", "RIGHT PARENTHESIS LOWER HOOK (U+23A0)"
"U+23A1", "\xe2\x8e\xa1", "LEFT SQUARE BRACKET UPPER CORNER (U+23A1)"
"U+23A2", "\xe2\x8e\xa2", "LEFT SQUARE BRACKET EXTENSION (U+23A2)"
"U+23A3", "\xe2\x8e\xa3", "LEFT SQUARE BRACKET LOWER CORNER (U+23A3)"
"U+23A4", "\xe2\x8e\xa4", "RIGHT SQUARE BRACKET UPPER CORNER (U+23A4)"
"U+23A5", "\xe2\x8e\xa5", "RIGHT SQUARE BRACKET EXTENSION (U+23A5)"
"U+23A6", "\xe2\x8e\xa6", "RIGHT SQUARE BRACKET LOWER CORNER (U+23A6)"
"U+23A7", "\xe2\x8e\xa7", "LEFT CURLY BRACKET UPPER HOOK (U+23A7)"
"U+23A8", "\xe2\x8e\xa8", "LEFT CURLY BRACKET MIDDLE PIECE (U+23A8)"
"U+23A9", "\xe2\x8e\xa9", "LEFT CURLY BRACKET LOWER HOOK (U+23A9)"
"U+23AA", "\xe2\x8e\xaa", "CURLY BRACKET EXTENSION (U+23AA)"
"U+23AB", "\xe2\x8e\xab", "RIGHT CURLY BRACKET UPPER HOOK (U+23AB)"
"U+23AC", "\xe2\x8e\xac", "RIGHT CURLY BRACKET MIDDLE PIECE (U+23AC)"
"U+23AD", "\xe2\x8e\xad", "RIGHT CURLY BRACKET LOWER HOOK (U+23AD)"
"U+23AE", "\xe2\x8e\xae", "INTEGRAL EXTENSION (U+23AE)"
"U+23AF", "\xe2\x8e\xaf", "HORIZONTAL LINE EXTENSION (U+23AF)"
"U+23B0", "\xe2\x8e\xb0", "UPPER LEFT OR LOWER RIGHT CURLY BRACKET SECTION (U+23B0)"
