# Unicode Characters in the Yi Syllables Block
# Source: http://www.fileformat.info/info/unicode/block/yi_syllables/list.htm
"U+A0B0", "\xea\x82\xb0", "YI SYLLABLE MI (U+A0B0)"
"U+A0B1", "\xea\x82\xb1", "YI SYLLABLE MIP (U+A0B1)"
"U+A0B2", "\xea\x82\xb2", "YI SYLLABLE MIEX (U+A0B2)"
"U+A0B3", "\xea\x82\xb3", "YI SYLLABLE MIE (U+A0B3)"
"U+A0B4", "\xea\x82\xb4", "YI SYLLABLE MIEP (U+A0B4)"
"U+A0B5", "\xea\x82\xb5", "YI SYLLABLE MAT (U+A0B5)"
"U+A0B6", "\xea\x82\xb6", "YI SYLLABLE MAX (U+A0B6)"
"U+A0B7", "\xea\x82\xb7", "YI SYLLABLE MA (U+A0B7)"
"U+A0B8", "\xea\x82\xb8", "YI SYLLABLE MAP (U+A0B8)"
"U+A0B9", "\xea\x82\xb9", "YI SYLLABLE MUOT (U+A0B9)"
"U+A0BA", "\xea\x82\xba", "YI SYLLABLE MUOX (U+A0BA)"
"U+A0BB", "\xea\x82\xbb", "YI SYLLABLE MUO (U+A0BB)"
"U+A0BC", "\xea\x82\xbc", "YI SYLLABLE MUOP (U+A0BC)"
"U+A0BD", "\xea\x82\xbd", "YI SYLLABLE MOT (U+A0BD)"
"U+A0BE", "\xea\x82\xbe", "YI SYLLABLE MOX (U+A0BE)"
"U+A0BF", "\xea\x82\xbf", "YI SYLLABLE MO (U+A0BF)"
"U+A0C0", "\xea\x83\x80", "YI SYLLABLE MOP (U+A0C0)"
"U+A0C1", "\xea\x83\x81", "YI SYLLABLE MEX (U+A0C1)"
"U+A0C2", "\xea\x83\x82", "YI SYLLABLE ME (U+A0C2)"
"U+A0C3", "\xea\x83\x83", "YI SYLLABLE MUT (U+A0C3)"
"U+A0C4", "\xea\x83\x84", "YI SYLLABLE MUX (U+A0C4)"
"U+A0C5", "\xea\x83\x85", "YI SYLLABLE MU (U+A0C5)"
