# Unicode Characters in the Ethiopic Block
# Source: http://www.fileformat.info/info/unicode/block/ethiopic/list.htm
"U+1280", "\xe1\x8a\x80", "ETHIOPIC SYLLABLE XA (U+1280)"
"U+1281", "\xe1\x8a\x81", "ETHIOPIC SYLLABLE XU (U+1281)"
"U+1282", "\xe1\x8a\x82", "ETHIOPIC SYLLABLE XI (U+1282)"
"U+1283", "\xe1\x8a\x83", "ETHIOPIC SYLLABLE XAA (U+1283)"
"U+1284", "\xe1\x8a\x84", "ETHIOPIC SYLLABLE XEE (U+1284)"
"U+1285", "\xe1\x8a\x85", "ETHIOPIC SYLLABLE XE (U+1285)"
"U+1286", "\xe1\x8a\x86", "ETHIOPIC SYLLABLE XO (U+1286)"
"U+1287", "\xe1\x8a\x87", "ETHIOPIC SYLLABLE XOA (U+1287)"
"U+1288", "\xe1\x8a\x88", "ETHIOPIC SYLLABLE XWA (U+1288)"
"U+128A", "\xe1\x8a\x8a", "ETHIOPIC SYLLABLE XWI (U+128A)"
"U+128B", "\xe1\x8a\x8b", "ETHIOPIC SYLLABLE XWAA (U+128B)"
"U+128C", "\xe1\x8a\x8c", "ETHIOPIC SYLLABLE XWEE (U+128C)"
"U+128D", "\xe1\x8a\x8d", "ETHIOPIC SYLLABLE XWE (U+128D)"
"U+1290", "\xe1\x8a\x90", "ETHIOPIC SYLLABLE NA (U+1290)"
"U+1291", "\xe1\x8a\x91", "ETHIOPIC SYLLABLE NU (U+1291)"
"U+1292", "\xe1\x8a\x92", "ETHIOPIC SYLLABLE NI (U+1292)"
"U+1293", "\xe1\x8a\x93", "ETHIOPIC SYLLABLE NAA (U+1293)"
"U+1294", "\xe1\x8a\x94", "ETHIOPIC SYLLABLE NEE (U+1294)"
"U+1295", "\xe1\x8a\x95", "ETHIOPIC SYLLABLE NE (U+1295)"
"U+1296", "\xe1\x8a\x96", "ETHIOPIC SYLLABLE NO (U+1296)"
"U+1297", "\xe1\x8a\x97", "ETHIOPIC SYLLABLE NWA (U+1297)"
"U+1298", "\xe1\x8a\x98", "ETHIOPIC SYLLABLE NYA (U+1298)"
"U+1299", "\xe1\x8a\x99", "ETHIOPIC SYLLABLE NYU (U+1299)"
"U+129A", "\xe1\x8a\x9a", "ETHIOPIC SYLLABLE NYI (U+129A)"
"U+129B", "\xe1\x8a\x9b", "ETHIOPIC SYLLABLE NYAA (U+129B)"
"U+129C", "\xe1\x8a\x9c", "ETHIOPIC SYLLABLE NYEE (U+129C)"
"U+129D", "\xe1\x8a\x9d", "ETHIOPIC SYLLABLE NYE (U+129D)"
"U+129E", "\xe1\x8a\x9e", "ETHIOPIC SYLLABLE NYO (U+129E)"
"U+129F", "\xe1\x8a\x9f", "ETHIOPIC SYLLABLE NYWA (U+129F)"
"U+12A0", "\xe1\x8a\xa0", "ETHIOPIC SYLLABLE GLOTTAL A (U+12A0)"
"U+12A1", "\xe1\x8a\xa1", "ETHIOPIC SYLLABLE GLOTTAL U (U+12A1)"
"U+12A2", "\xe1\x8a\xa2", "ETHIOPIC SYLLABLE GLOTTAL I (U+12A2)"
"U+12A3", "\xe1\x8a\xa3", "ETHIOPIC SYLLABLE GLOTTAL AA (U+12A3)"
"U+12A4", "\xe1\x8a\xa4", "ETHIOPIC SYLLABLE GLOTTAL EE (U+12A4)"
"U+12A5", "\xe1\x8a\xa5", "ETHIOPIC SYLLABLE GLOTTAL E (U+12A5)"
"U+12A6", "\xe1\x8a\xa6", "ETHIOPIC SYLLABLE GLOTTAL O (U+12A6)"
"U+12A7", "\xe1\x8a\xa7", "ETHIOPIC SYLLABLE GLOTTAL WA (U+12A7)"
"U+12A8", "\xe1\x8a\xa8", "ETHIOPIC SYLLABLE KA (U+12A8)"
"U+12A9", "\xe1\x8a\xa9", "ETHIOPIC SYLLABLE KU (U+12A9)"
"U+12AA", "\xe1\x8a\xaa", "ETHIOPIC SYLLABLE KI (U+12AA)"
"U+12AB", "\xe1\x8a\xab", "ETHIOPIC SYLLABLE KAA (U+12AB)"
"U+12AC", "\xe1\x8a\xac", "ETHIOPIC SYLLABLE KEE (U+12AC)"
"U+12AD", "\xe1\x8a\xad", "ETHIOPIC SYLLABLE KE (U+12AD)"
"U+12AE", "\xe1\x8a\xae", "ETHIOPIC SYLLABLE KO (U+12AE)"
"U+12AF", "\xe1\x8a\xaf", "ETHIOPIC SYLLABLE KOA (U+12AF)"
"U+12B0", "\xe1\x8a\xb0", "ETHIOPIC SYLLABLE KWA (U+12B0)"
"U+12B2", "\xe1\x8a\xb2", "ETHIOPIC SYLLABLE KWI (U+12B2)"
"U+12B3", "\xe1\x8a\xb3", "ETHIOPIC SYLLABLE KWAA (U+12B3)"
"U+12B4", "\xe1\x8a\xb4", "ETHIOPIC SYLLABLE KWEE (U+12B4)"
"U+12B5", "\xe1\x8a\xb5", "ETHIOPIC SYLLABLE KWE (U+12B5)"
"U+12B8", "\xe1\x8a\xb8", "ETHIOPIC SYLLABLE KXA (U+12B8)"
"U+12B9", "\xe1\x8a\xb9", "ETHIOPIC SYLLABLE KXU (U+12B9)"
"U+12BA", "\xe1\x8a\xba", "ETHIOPIC SYLLABLE KXI (U+12BA)"
"U+12BB", "\xe1\x8a\xbb", "ETHIOPIC SYLLABLE KXAA (U+12BB)"
"U+12BC", "\xe1\x8a\xbc", "ETHIOPIC SYLLABLE KXEE (U+12BC)"
"U+12BD", "\xe1\x8a\xbd", "ETHIOPIC SYLLABLE KXE (U+12BD)"
"U+12BE", "\xe1\x8a\xbe", "ETHIOPIC SYLLABLE KXO (U+12BE)"
"U+12C0", "\xe1\x8b\x80", "ETHIOPIC SYLLABLE KXWA (U+12C0)"
"U+12C2", "\xe1\x8b\x82", "ETHIOPIC SYLLABLE KXWI (U+12C2)"
"U+12C3", "\xe1\x8b\x83", "ETHIOPIC SYLLABLE KXWAA (U+12C3)"
"U+12C4", "\xe1\x8b\x84", "ETHIOPIC SYLLABLE KXWEE (U+12C4)"
"U+12C5", "\xe1\x8b\x85", "ETHIOPIC SYLLABLE KXWE (U+12C5)"
"U+12C8", "\xe1\x8b\x88", "ETHIOPIC SYLLABLE WA (U+12C8)"
"U+12C9", "\xe1\x8b\x89", "ETHIOPIC SYLLABLE WU (U+12C9)"
"U+12CA", "\xe1\x8b\x8a", "ETHIOPIC SYLLABLE WI (U+12CA)"
"U+12CB", "\xe1\x8b\x8b", "ETHIOPIC SYLLABLE WAA (U+12CB)"
"U+12CC", "\xe1\x8b\x8c", "ETHIOPIC SYLLABLE WEE (U+12CC)"
"U+12CD", "\xe1\x8b\x8d", "ETHIOPIC SYLLABLE WE (U+12CD)"
"U+12CE", "\xe1\x8b\x8e", "ETHIOPIC SYLLABLE WO (U+12CE)"
"U+12CF", "\xe1\x8b\x8f", "ETHIOPIC SYLLABLE WOA (U+12CF)"
"U+12D0", "\xe1\x8b\x90", "ETHIOPIC SYLLABLE PHARYNGEAL A (U+12D0)"
"U+12D1", "\xe1\x8b\x91", "ETHIOPIC SYLLABLE PHARYNGEAL U (U+12D1)"
"U+12D2", "\xe1\x8b\x92", "ETHIOPIC SYLLABLE PHARYNGEAL I (U+12D2)"
"U+12D3", "\xe1\x8b\x93", "ETHIOPIC SYLLABLE PHARYNGEAL AA (U+12D3)"
"U+12D4", "\xe1\x8b\x94", "ETHIOPIC SYLLABLE PHARYNGEAL EE (U+12D4)"
"U+12D5", "\xe1\x8b\x95", "ETHIOPIC SYLLABLE PHARYNGEAL E (U+12D5)"
"U+12D6", "\xe1\x8b\x96", "ETHIOPIC SYLLABLE PHARYNGEAL O (U+12D6)"
"U+12D8", "\xe1\x8b\x98", "ETHIOPIC SYLLABLE ZA (U+12D8)"
"U+12D9", "\xe1\x8b\x99", "ETHIOPIC SYLLABLE ZU (U+12D9)"
"U+12DA", "\xe1\x8b\x9a", "ETHIOPIC SYLLABLE ZI (U+12DA)"
"U+12DB", "\xe1\x8b\x9b", "ETHIOPIC SYLLABLE ZAA (U+12DB)"
"U+12DC", "\xe1\x8b\x9c", "ETHIOPIC SYLLABLE ZEE (U+12DC)"
"U+12DD", "\xe1\x8b\x9d", "ETHIOPIC SYLLABLE ZE (U+12DD)"
"U+12DE", "\xe1\x8b\x9e", "ETHIOPIC SYLLABLE ZO (U+12DE)"
"U+12DF", "\xe1\x8b\x9f", "ETHIOPIC SYLLABLE ZWA (U+12DF)"
"U+12E0", "\xe1\x8b\xa0", "ETHIOPIC SYLLABLE ZHA (U+12E0)"
"U+12E1", "\xe1\x8b\xa1", "ETHIOPIC SYLLABLE ZHU (U+12E1)"
"U+12E2", "\xe1\x8b\xa2", "ETHIOPIC SYLLABLE ZHI (U+12E2)"
"U+12E3", "\xe1\x8b\xa3", "ETHIOPIC SYLLABLE ZHAA (U+12E3)"
"U+12E4", "\xe1\x8b\xa4", "ETHIOPIC SYLLABLE ZHEE (U+12E4)"
"U+12E5", "\xe1\x8b\xa5", "ETHIOPIC SYLLABLE ZHE (U+12E5)"
"U+12E6", "\xe1\x8b\xa6", "ETHIOPIC SYLLABLE ZHO (U+12E6)"
"U+12E7", "\xe1\x8b\xa7", "ETHIOPIC SYLLABLE ZHWA (U+12E7)"
"U+12E8", "\xe1\x8b\xa8", "ETHIOPIC SYLLABLE YA (U+12E8)"
"U+12E9", "\xe1\x8b\xa9", "ETHIOPIC SYLLABLE YU (U+12E9)"
"U+12EA", "\xe1\x8b\xaa", "ETHIOPIC SYLLABLE YI (U+12EA)"
"U+12EB", "\xe1\x8b\xab", "ETHIOPIC SYLLABLE YAA (U+12EB)"
"U+12EC", "\xe1\x8b\xac", "ETHIOPIC SYLLABLE YEE (U+12EC)"
"U+12ED", "\xe1\x8b\xad", "ETHIOPIC SYLLABLE YE (U+12ED)"
"U+12EE", "\xe1\x8b\xae", "ETHIOPIC SYLLABLE YO (U+12EE)"
"U+12EF", "\xe1\x8b\xaf", "ETHIOPIC SYLLABLE YOA (U+12EF)"
"U+12F0", "\xe1\x8b\xb0", "ETHIOPIC SYLLABLE DA (U+12F0)"
"U+12F1", "\xe1\x8b\xb1", "ETHIOPIC SYLLABLE DU (U+12F1)"
"U+12F2", "\xe1\x8b\xb2", "ETHIOPIC SYLLABLE DI (U+12F2)"
"U+12F3", "\xe1\x8b\xb3", "ETHIOPIC SYLLABLE DAA (U+12F3)"
"U+12F4", "\xe1\x8b\xb4", "ETHIOPIC SYLLABLE DEE (U+12F4)"
"U+12F5", "\xe1\x8b\xb5", "ETHIOPIC SYLLABLE DE (U+12F5)"
"U+12F6", "\xe1\x8b\xb6", "ETHIOPIC SYLLABLE DO (U+12F6)"
"U+12F7", "\xe1\x8b\xb7", "ETHIOPIC SYLLABLE DWA (U+12F7)"
"U+12F8", "\xe1\x8b\xb8", "ETHIOPIC SYLLABLE DDA (U+12F8)"
"U+12F9", "\xe1\x8b\xb9", "ETHIOPIC SYLLABLE DDU (U+12F9)"
"U+12FA", "\xe1\x8b\xba", "ETHIOPIC SYLLABLE DDI (U+12FA)"
"U+12FB", "\xe1\x8b\xbb", "ETHIOPIC SYLLABLE DDAA (U+12FB)"
"U+12FC", "\xe1\x8b\xbc", "ETHIOPIC SYLLABLE DDEE (U+12FC)"
