# Unicode Characters in the Braille Patterns Block
# Source: http://www.fileformat.info/info/unicode/block/braille_patterns/list.htm
"U+287E", "\xe2\xa1\xbe", "BRAILLE PATTERN DOTS-234567 (U+287E)"
"U+287F", "\xe2\xa1\xbf", "BRAILLE PATTERN DOTS-1234567 (U+287F)"
"U+2880", "\xe2\xa2\x80", "BRAILLE PATTERN DOTS-8 (U+2880)"
"U+2881", "\xe2\xa2\x81", "BRAILLE PATTERN DOTS-18 (U+2881)"
"U+2882", "\xe2\xa2\x82", "BRAILLE PATTERN DOTS-28 (U+2882)"
"U+2883", "\xe2\xa2\x83", "BRAILLE PATTERN DOTS-128 (U+2883)"
"U+2884", "\xe2\xa2\x84", "BRAILLE PATTERN DOTS-38 (U+2884)"
"U+2885", "\xe2\xa2\x85", "BRAILLE PATTERN DOTS-138 (U+2885)"
"U+2886", "\xe2\xa2\x86", "BRAILLE PATTERN DOTS-238 (U+2886)"
"U+2887", "\xe2\xa2\x87", "BRAILLE PATTERN DOTS-1238 (U+2887)"
"U+2888", "\xe2\xa2\x88", "BRAILLE PATTERN DOTS-48 (U+2888)"
"U+2889", "\xe2\xa2\x89", "BRAILLE PATTERN DOTS-148 (U+2889)"
"U+288A", "\xe2\xa2\x8a", "BRAILLE PATTERN DOTS-248 (U+288A)"
"U+288B", "\xe2\xa2\x8b", "BRAILLE PATTERN DOTS-1248 (U+288B)"
"U+288C", "\xe2\xa2\x8c", "BRAILLE PATTERN DOTS-348 (U+288C)"
"U+288D", "\xe2\xa2\x8d", "BRAILLE PATTERN DOTS-1348 (U+288D)"
"U+288E", "\xe2\xa2\x8e", "BRAILLE PATTERN DOTS-2348 (U+288E)"
"U+288F", "\xe2\xa2\x8f", "BRAILLE PATTERN DOTS-12348 (U+288F)"
"U+2890", "\xe2\xa2\x90", "BRAILLE PATTERN DOTS-58 (U+2890)"
"U+2891", "\xe2\xa2\x91", "BRAILLE PATTERN DOTS-158 (U+2891)"
"U+2892", "\xe2\xa2\x92", "BRAILLE PATTERN DOTS-258 (U+2892)"
"U+2893", "\xe2\xa2\x93", "BRAILLE PATTERN DOTS-1258 (U+2893)"
"U+2894", "\xe2\xa2\x94", "BRAILLE PATTERN DOTS-358 (U+2894)"
"U+2895", "\xe2\xa2\x95", "BRAILLE PATTERN DOTS-1358 (U+2895)"
"U+2896", "\xe2\xa2\x96", "BRAILLE PATTERN DOTS-2358 (U+2896)"
"U+2897", "\xe2\xa2\x97", "BRAILLE PATTERN DOTS-12358 (U+2897)"
"U+2898", "\xe2\xa2\x98", "BRAILLE PATTERN DOTS-458 (U+2898)"
"U+2899", "\xe2\xa2\x99", "BRAILLE PATTERN DOTS-1458 (U+2899)"
"U+289A", "\xe2\xa2\x9a", "BRAILLE PATTERN DOTS-2458 (U+289A)"
"U+289B", "\xe2\xa2\x9b", "BRAILLE PATTERN DOTS-12458 (U+289B)"
"U+289C", "\xe2\xa2\x9c", "BRAILLE PATTERN DOTS-3458 (U+289C)"
"U+289D", "\xe2\xa2\x9d", "BRAILLE PATTERN DOTS-13458 (U+289D)"
"U+289E", "\xe2\xa2\x9e", "BRAILLE PATTERN DOTS-23458 (U+289E)"
"U+289F", "\xe2\xa2\x9f", "BRAILLE PATTERN DOTS-123458 (U+289F)"
"U+28A0", "\xe2\xa2\xa0", "BRAILLE PATTERN DOTS-68 (U+28A0)"
"U+28A1", "\xe2\xa2\xa1", "BRAILLE PATTERN DOTS-168 (U+28A1)"
"U+28A2", "\xe2\xa2\xa2", "BRAILLE PATTERN DOTS-268 (U+28A2)"
