# Balinese
U+1B5E, \xe1\xad\x9e, BALINESE CARIK SIKI
U+1B5F, \xe1\xad\x9f, BALINESE CARIK PAREREN
U+1B60, \xe1\xad\xa0, BALINESE PAMENENG
U+1B61, \xe1\xad\xa1, BALINESE MUSICAL SYMBOL DONG
U+1B62, \xe1\xad\xa2, BALINESE MUSICAL SYMBOL DENG
U+1B63, \xe1\xad\xa3, BALINESE MUSICAL SYMBOL DUNG
U+1B64, \xe1\xad\xa4, BALINESE MUSICAL SYMBOL DANG
U+1B65, \xe1\xad\xa5, BALINESE MUSICAL SYMBOL DANG SURANG
U+1B66, \xe1\xad\xa6, BALINESE MUSICAL SYMBOL DING
U+1B67, \xe1\xad\xa7, BALINESE MUSICAL SYMBOL DAENG
U+1B68, \xe1\xad\xa8, BALINESE MUSICAL SYMBOL DEUNG
U+1B69, \xe1\xad\xa9, BALINESE MUSICAL SYMBOL DAING
U+1B6A, \xe1\xad\xaa, BALINESE MUSICAL SYMBOL DANG GEDE
U+1B6B, \xe1\xad\xab, BALINESE MUSICAL SYMBOL COMBINING TEGEH
U+1B6C, \xe1\xad\xac, BALINESE MUSICAL SYMBOL COMBINING ENDEP
U+1B6D, \xe1\xad\xad, BALINESE MUSICAL SYMBOL COMBINING KEMPUL
U+1B6E, \xe1\xad\xae, BALINESE MUSICAL SYMBOL COMBINING KEMPLI
U+1B6F, \xe1\xad\xaf, BALINESE MUSICAL SYMBOL COMBINING JEGOGAN
U+1B70, \xe1\xad\xb0, BALINESE MUSICAL SYMBOL COMBINING KEMPUL WITH JEGOGAN
U+1B71, \xe1\xad\xb1, BALINESE MUSICAL SYMBOL COMBINING KEMPLI WITH JEGOGAN
U+1B72, \xe1\xad\xb2, BALINESE MUSICAL SYMBOL COMBINING BENDE
U+1B73, \xe1\xad\xb3, BALINESE MUSICAL SYMBOL COMBINING GONG
U+1B74, \xe1\xad\xb4, BALINESE MUSICAL SYMBOL RIGHT-HAND OPEN DUG
U+1B75, \xe1\xad\xb5, BALINESE MUSICAL SYMBOL RIGHT-HAND OPEN DAG
U+1B76, \xe1\xad\xb6, BALINESE MUSICAL SYMBOL RIGHT-HAND CLOSED TUK
U+1B77, \xe1\xad\xb7, BALINESE MUSICAL SYMBOL RIGHT-HAND CLOSED TAK
U+1B78, \xe1\xad\xb8, BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PANG
U+1B79, \xe1\xad\xb9, BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PUNG
