# Unicode Characters in the Variation Selectors Supplement Block
# Source: http://www.fileformat.info/info/unicode/block/variation_selectors_supplement/list.htm
"U+E01A5", "\xee\x80\x9a\x35", "VARIATION SELECTOR-182 (U+E01A5)"
"U+E01A6", "\xee\x80\x9a\x36", "VARIATION SELECTOR-183 (U+E01A6)"
"U+E01A7", "\xee\x80\x9a\x37", "VARIATION SELECTOR-184 (U+E01A7)"
"U+E01A8", "\xee\x80\x9a\x38", "VARIATION SELECTOR-185 (U+E01A8)"
"U+E01A9", "\xee\x80\x9a\x39", "VARIATION SELECTOR-186 (U+E01A9)"
"U+E01AA", "\xee\x80\x9a\x41", "VARIATION SELECTOR-187 (U+E01AA)"
"U+E01AB", "\xee\x80\x9a\x42", "VARIATION SELECTOR-188 (U+E01AB)"
"U+E01AC", "\xee\x80\x9a\x43", "VARIATION SELECTOR-189 (U+E01AC)"
"U+E01AD", "\xee\x80\x9a\x44", "VARIATION SELECTOR-190 (U+E01AD)"
"U+E01AE", "\xee\x80\x9a\x45", "VARIATION SELECTOR-191 (U+E01AE)"
"U+E01AF", "\xee\x80\x9a\x46", "VARIATION SELECTOR-192 (U+E01AF)"
"U+E01B0", "\xee\x80\x9b\x30", "VARIATION SELECTOR-193 (U+E01B0)"
"U+E01B1", "\xee\x80\x9b\x31", "VARIATION SELECTOR-194 (U+E01B1)"
"U+E01B2", "\xee\x80\x9b\x32", "VARIATION SELECTOR-195 (U+E01B2)"
"U+E01B3", "\xee\x80\x9b\x33", "VARIATION SELECTOR-196 (U+E01B3)"
"U+E01B4", "\xee\x80\x9b\x34", "VARIATION SELECTOR-197 (U+E01B4)"
"U+E01B5", "\xee\x80\x9b\x35", "VARIATION SELECTOR-198 (U+E01B5)"
"U+E01B6", "\xee\x80\x9b\x36", "VARIATION SELECTOR-199 (U+E01B6)"
"U+E01B7", "\xee\x80\x9b\x37", "VARIATION SELECTOR-200 (U+E01B7)"
"U+E01B8", "\xee\x80\x9b\x38", "VARIATION SELECTOR-201 (U+E01B8)"
"U+E01B9", "\xee\x80\x9b\x39", "VARIATION SELECTOR-202 (U+E01B9)"
"U+E01BA", "\xee\x80\x9b\x41", "VARIATION SELECTOR-203 (U+E01BA)"
"U+E01BB", "\xee\x80\x9b\x42", "VARIATION SELECTOR-204 (U+E01BB)"
"U+E01BC", "\xee\x80\x9b\x43", "VARIATION SELECTOR-205 (U+E01BC)"
"U+E01BD", "\xee\x80\x9b\x44", "VARIATION SELECTOR-206 (U+E01BD)"
"U+E01BE", "\xee\x80\x9b\x45", "VARIATION SELECTOR-207 (U+E01BE)"
"U+E01BF", "\xee\x80\x9b\x46", "VARIATION SELECTOR-208 (U+E01BF)"
"U+E01C0", "\xee\x80\x9c\x30", "VARIATION SELECTOR-209 (U+E01C0)"
"U+E01C1", "\xee\x80\x9c\x31", "VARIATION SELECTOR-210 (U+E01C1)"
"U+E01C2", "\xee\x80\x9c\x32", "VARIATION SELECTOR-211 (U+E01C2)"
"U+E01C3", "\xee\x80\x9c\x33", "VARIATION SELECTOR-212 (U+E01C3)"
"U+E01C4", "\xee\x80\x9c\x34", "VARIATION SELECTOR-213 (U+E01C4)"
"U+E01C5", "\xee\x80\x9c\x35", "VARIATION SELECTOR-214 (U+E01C5)"
"U+E01C6", "\xee\x80\x9c\x36", "VARIATION SELECTOR-215 (U+E01C6)"
"U+E01C7", "\xee\x80\x9c\x37", "VARIATION SELECTOR-216 (U+E01C7)"
"U+E01C8", "\xee\x80\x9c\x38", "VARIATION SELECTOR-217 (U+E01C8)"
"U+E01C9", "\xee\x80\x9c\x39", "VARIATION SELECTOR-218 (U+E01C9)"
"U+E01CA", "\xee\x80\x9c\x41", "VARIATION SELECTOR-219 (U+E01CA)"
"U+E01CB", "\xee\x80\x9c\x42", "VARIATION SELECTOR-220 (U+E01CB)"
"U+E01CC", "\xee\x80\x9c\x43", "VARIATION SELECTOR-221 (U+E01CC)"
"U+E01CD", "\xee\x80\x9c\x44", "VARIATION SELECTOR-222 (U+E01CD)"
"U+E01CE", "\xee\x80\x9c\x45", "VARIATION SELECTOR-223 (U+E01CE)"
"U+E01CF", "\xee\x80\x9c\x46", "VARIATION SELECTOR-224 (U+E01CF)"
"U+E01D0", "\xee\x80\x9d\x30", "VARIATION SELECTOR-225 (U+E01D0)"
"U+E01D1", "\xee\x80\x9d\x31", "VARIATION SELECTOR-226 (U+E01D1)"
"U+E01D2", "\xee\x80\x9d\x32", "VARIATION SELECTOR-227 (U+E01D2)"
"U+E01D3", "\xee\x80\x9d\x33", "VARIATION SELECTOR-228 (U+E01D3)"
"U+E01D4", "\xee\x80\x9d\x34", "VARIATION SELECTOR-229 (U+E01D4)"
"U+E01D5", "\xee\x80\x9d\x35", "VARIATION SELECTOR-230 (U+E01D5)"
"U+E01D6", "\xee\x80\x9d\x36", "VARIATION SELECTOR-231 (U+E01D6)"
"U+E01D7", "\xee\x80\x9d\x37", "VARIATION SELECTOR-232 (U+E01D7)"
"U+E01D8", "\xee\x80\x9d\x38", "VARIATION SELECTOR-233 (U+E01D8)"
"U+E01D9", "\xee\x80\x9d\x39", "VARIATION SELECTOR-234 (U+E01D9)"
"U+E01DA", "\xee\x80\x9d\x41", "VARIATION SELECTOR-235 (U+E01DA)"
"U+E01DB", "\xee\x80\x9d\x42", "VARIATION SELECTOR-236 (U+E01DB)"
"U+E01DC", "\xee\x80\x9d\x43", "VARIATION SELECTOR-237 (U+E01DC)"
"U+E01DD", "\xee\x80\x9d\x44", "VARIATION SELECTOR-238 (U+E01DD)"
"U+E01DE", "\xee\x80\x9d\x45", "VARIATION SELECTOR-239 (U+E01DE)"
"U+E01DF", "\xee\x80\x9d\x46", "VARIATION SELECTOR-240 (U+E01DF)"
"U+E01E0", "\xee\x80\x9e\x30", "VARIATION SELECTOR-241 (U+E01E0)"
"U+E01E1", "\xee\x80\x9e\x31", "VARIATION SELECTOR-242 (U+E01E1)"
"U+E01E2", "\xee\x80\x9e\x32", "VARIATION SELECTOR-243 (U+E01E2)"
"U+E01E3", "\xee\x80\x9e\x33", "VARIATION SELECTOR-244 (U+E01E3)"
"U+E01E4", "\xee\x80\x9e\x34", "VARIATION SELECTOR-245 (U+E01E4)"
"U+E01E5", "\xee\x80\x9e\x35", "VARIATION SELECTOR-246 (U+E01E5)"
"U+E01E6", "\xee\x80\x9e\x36", "VARIATION SELECTOR-247 (U+E01E6)"
"U+E01E7", "\xee\x80\x9e\x37", "VARIATION SELECTOR-248 (U+E01E7)"
"U+E01E8", "\xee\x80\x9e\x38", "VARIATION SELECTOR-249 (U+E01E8)"
"U+E01E9", "\xee\x80\x9e\x39", "VARIATION SELECTOR-250 (U+E01E9)"
"U+E01EA", "\xee\x80\x9e\x41", "VARIATION SELECTOR-251 (U+E01EA)"
"U+E01EB", "\xee\x80\x9e\x42", "VARIATION SELECTOR-252 (U+E01EB)"
"U+E01EC", "\xee\x80\x9e\x43", "VARIATION SELECTOR-253 (U+E01EC)"
"U+E01ED", "\xee\x80\x9e\x44", "VARIATION SELECTOR-254 (U+E01ED)"
"U+E01EE", "\xee\x80\x9e\x45", "VARIATION SELECTOR-255 (U+E01EE)"
"U+E01EF", "\xee\x80\x9e\x46", "VARIATION SELECTOR-256 (U+E01EF)"
