# Unicode Characters in the Halfwidth and Fullwidth Forms Block
# Source: http://www.fileformat.info/info/unicode/block/halfwidth_and_fullwidth_forms/list.htm
"U+FFA6", "\xef\xbe\xa6", "HALFWIDTH HANGUL LETTER NIEUN-HIEUH (U+FFA6)"
"U+FFA7", "\xef\xbe\xa7", "HALFWIDTH HANGUL LETTER TIKEUT (U+FFA7)"
"U+FFA8", "\xef\xbe\xa8", "HALFWIDTH HANGUL LETTER SSANGTIKEUT (U+FFA8)"
"U+FFA9", "\xef\xbe\xa9", "HALFWIDTH HANGUL LETTER RIEUL (U+FFA9)"
"U+FFAA", "\xef\xbe\xaa", "HALFWIDTH HANGUL LETTER RIEUL-KIYEOK (U+FFAA)"
"U+FFAB", "\xef\xbe\xab", "HALFWIDTH HANGUL LETTER RIEUL-MIEUM (U+FFAB)"
"U+FFAC", "\xef\xbe\xac", "HALFWIDTH HANGUL LETTER RIEUL-PIEUP (U+FFAC)"
"U+FFAD", "\xef\xbe\xad", "HALFWIDTH HANGUL LETTER RIEUL-SIOS (U+FFAD)"
"U+FFAE", "\xef\xbe\xae", "HALFWIDTH HANGUL LETTER RIEUL-THIEUTH (U+FFAE)"
"U+FFAF", "\xef\xbe\xaf", "HALFWIDTH HANGUL LETTER RIEUL-PHIEUPH (U+FFAF)"
"U+FFB0", "\xef\xbe\xb0", "HALFWIDTH HANGUL LETTER RIEUL-HIEUH (U+FFB0)"
"U+FFB1", "\xef\xbe\xb1", "HALFWIDTH HANGUL LETTER MIEUM (U+FFB1)"
"U+FFB2", "\xef\xbe\xb2", "HALFWIDTH HANGUL LETTER PIEUP (U+FFB2)"
"U+FFB3", "\xef\xbe\xb3", "HALFWIDTH HANGUL LETTER SSANGPIEUP (U+FFB3)"
"U+FFB4", "\xef\xbe\xb4", "HALFWIDTH HANGUL LETTER PIEUP-SIOS (U+FFB4)"
"U+FFB5", "\xef\xbe\xb5", "HALFWIDTH HANGUL LETTER SIOS (U+FFB5)"
"U+FFB6", "\xef\xbe\xb6", "HALFWIDTH HANGUL LETTER SSANGSIOS (U+FFB6)"
