# Unicode Characters in the Enclosed CJK Letters and Months Block
# Source: http://www.fileformat.info/info/unicode/block/enclosed_cjk_letters_and_months/list.htm
"U+32B2", "\xe3\x8a\xb2", "CIRCLED NUMBER THIRTY SEVEN (U+32B2)"
"U+32B3", "\xe3\x8a\xb3", "CIRCLED NUMBER THIRTY EIGHT (U+32B3)"
"U+32B4", "\xe3\x8a\xb4", "CIRCLED NUMBER THIRTY NINE (U+32B4)"
"U+32B5", "\xe3\x8a\xb5", "CIRCLED NUMBER FORTY (U+32B5)"
"U+32B6", "\xe3\x8a\xb6", "CIRCLED NUMBER FORTY ONE (U+32B6)"
"U+32B7", "\xe3\x8a\xb7", "CIRCLED NUMBER FORTY TWO (U+32B7)"
"U+32B8", "\xe3\x8a\xb8", "CIRCLED NUMBER FORTY THREE (U+32B8)"
"U+32B9", "\xe3\x8a\xb9", "CIRCLED NUMBER FORTY FOUR (U+32B9)"
"U+32BA", "\xe3\x8a\xba", "CIRCLED NUMBER FORTY FIVE (U+32BA)"
"U+32BB", "\xe3\x8a\xbb", "CIRCLED NUMBER FORTY SIX (U+32BB)"
"U+32BC", "\xe3\x8a\xbc", "CIRCLED NUMBER FORTY SEVEN (U+32BC)"
"U+32BD", "\xe3\x8a\xbd", "CIRCLED NUMBER FORTY EIGHT (U+32BD)"
"U+32BE", "\xe3\x8a\xbe", "CIRCLED NUMBER FORTY NINE (U+32BE)"
"U+32BF", "\xe3\x8a\xbf", "CIRCLED NUMBER FIFTY (U+32BF)"
"U+32C0", "\xe3\x8b\x80", "IDEOGRAPHIC TELEGRAPH SYMBOL FOR JANUARY (U+32C0)"
"U+32C1", "\xe3\x8b\x81", "IDEOGRAPHIC TELEGRAPH SYMBOL FOR FEBRUARY (U+32C1)"
"U+32C2", "\xe3\x8b\x82", "IDEOGRAPHIC TELEGRAPH SYMBOL FOR MARCH (U+32C2)"
"U+32C3", "\xe3\x8b\x83", "IDEOGRAPHIC TELEGRAPH SYMBOL FOR APRIL (U+32C3)"
"U+32C4", "\xe3\x8b\x84", "IDEOGRAPHIC TELEGRAPH SYMBOL FOR MAY (U+32C4)"
"U+32C5", "\xe3\x8b\x85", "IDEOGRAPHIC TELEGRAPH SYMBOL FOR JUNE (U+32C5)"
"U+32C6", "\xe3\x8b\x86", "IDEOGRAPHIC TELEGRAPH SYMBOL FOR JULY (U+32C6)"
"U+32C7", "\xe3\x8b\x87", "IDEOGRAPHIC TELEGRAPH SYMBOL FOR AUGUST (U+32C7)"
"U+32C8", "\xe3\x8b\x88", "IDEOGRAPHIC TELEGRAPH SYMBOL FOR SEPTEMBER (U+32C8)"
"U+32C9", "\xe3\x8b\x89", "IDEOGRAPHIC TELEGRAPH SYMBOL FOR OCTOBER (U+32C9)"
"U+32CA", "\xe3\x8b\x8a", "IDEOGRAPHIC TELEGRAPH SYMBOL FOR NOVEMBER (U+32CA)"
"U+32CB", "\xe3\x8b\x8b", "IDEOGRAPHIC TELEGRAPH SYMBOL FOR DECEMBER (U+32CB)"
"U+32CC", "\xe3\x8b\x8c", "SQUARE HG (U+32CC)"
"U+32CD", "\xe3\x8b\x8d", "SQUARE ERG (U+32CD)"
"U+32CE", "\xe3\x8b\x8e", "SQUARE EV (U+32CE)"
"U+32CF", "\xe3\x8b\x8f", "LIMITED LIABILITY SIGN (U+32CF)"
"U+32D0", "\xe3\x8b\x90", "CIRCLED KATAKANA A (U+32D0)"
"U+32D1", "\xe3\x8b\x91", "CIRCLED KATAKANA I (U+32D1)"
"U+32D2", "\xe3\x8b\x92", "CIRCLED KATAKANA U (U+32D2)"
"U+32D3", "\xe3\x8b\x93", "CIRCLED KATAKANA E (U+32D3)"
"U+32D4", "\xe3\x8b\x94", "CIRCLED KATAKANA O (U+32D4)"
"U+32D5", "\xe3\x8b\x95", "CIRCLED KATAKANA KA (U+32D5)"
"U+32D6", "\xe3\x8b\x96", "CIRCLED KATAKANA KI (U+32D6)"
"U+32D7", "\xe3\x8b\x97", "CIRCLED KATAKANA KU (U+32D7)"
"U+32D8", "\xe3\x8b\x98", "CIRCLED KATAKANA KE (U+32D8)"
"U+32D9", "\xe3\x8b\x99", "CIRCLED KATAKANA KO (U+32D9)"
"U+32DA", "\xe3\x8b\x9a", "CIRCLED KATAKANA SA (U+32DA)"
"U+32DB", "\xe3\x8b\x9b", "CIRCLED KATAKANA SI (U+32DB)"
"U+32DC", "\xe3\x8b\x9c", "CIRCLED KATAKANA SU (U+32DC)"
"U+32DD", "\xe3\x8b\x9d", "CIRCLED KATAKANA SE (U+32DD)"
"U+32DE", "\xe3\x8b\x9e", "CIRCLED KATAKANA SO (U+32DE)"
"U+32DF", "\xe3\x8b\x9f", "CIRCLED KATAKANA TA (U+32DF)"
"U+32E0", "\xe3\x8b\xa0", "CIRCLED KATAKANA TI (U+32E0)"
"U+32E1", "\xe3\x8b\xa1", "CIRCLED KATAKANA TU (U+32E1)"
"U+32E2", "\xe3\x8b\xa2", "CIRCLED KATAKANA TE (U+32E2)"
"U+32E3", "\xe3\x8b\xa3", "CIRCLED KATAKANA TO (U+32E3)"
"U+32E4", "\xe3\x8b\xa4", "CIRCLED KATAKANA NA (U+32E4)"
"U+32E5", "\xe3\x8b\xa5", "CIRCLED KATAKANA NI (U+32E5)"
"U+32E6", "\xe3\x8b\xa6", "CIRCLED KATAKANA NU (U+32E6)"
"U+32E7", "\xe3\x8b\xa7", "CIRCLED KATAKANA NE (U+32E7)"
"U+32E8", "\xe3\x8b\xa8", "CIRCLED KATAKANA NO (U+32E8)"
"U+32E9", "\xe3\x8b\xa9", "CIRCLED KATAKANA HA (U+32E9)"
"U+32EA", "\xe3\x8b\xaa", "CIRCLED KATAKANA HI (U+32EA)"
"U+32EB", "\xe3\x8b\xab", "CIRCLED KATAKANA HU (U+32EB)"
"U+32EC", "\xe3\x8b\xac", "CIRCLED KATAKANA HE (U+32EC)"
"U+32ED", "\xe3\x8b\xad", "CIRCLED KATAKANA HO (U+32ED)"
"U+32EE", "\xe3\x8b\xae", "CIRCLED KATAKANA MA (U+32EE)"
"U+32EF", "\xe3\x8b\xaf", "CIRCLED KATAKANA MI (U+32EF)"
"U+32F0", "\xe3\x8b\xb0", "CIRCLED KATAKANA MU (U+32F0)"
"U+32F1", "\xe3\x8b\xb1", "CIRCLED KATAKANA ME (U+32F1)"
"U+32F2", "\xe3\x8b\xb2", "CIRCLED KATAKANA MO (U+32F2)"
"U+32F3", "\xe3\x8b\xb3", "CIRCLED KATAKANA YA (U+32F3)"
"U+32F4", "\xe3\x8b\xb4", "CIRCLED KATAKANA YU (U+32F4)"
"U+32F5", "\xe3\x8b\xb5", "CIRCLED KATAKANA YO (U+32F5)"
"U+32F6", "\xe3\x8b\xb6", "CIRCLED KATAKANA RA (U+32F6)"
"U+32F7", "\xe3\x8b\xb7", "CIRCLED KATAKANA RI (U+32F7)"
"U+32F8", "\xe3\x8b\xb8", "CIRCLED KATAKANA RU (U+32F8)"
"U+32F9", "\xe3\x8b\xb9", "CIRCLED KATAKANA RE (U+32F9)"
"U+32FA", "\xe3\x8b\xba", "CIRCLED KATAKANA RO (U+32FA)"
"U+32FB", "\xe3\x8b\xbb", "CIRCLED KATAKANA WA (U+32FB)"
"U+32FC", "\xe3\x8b\xbc", "CIRCLED KATAKANA WI (U+32FC)"
"U+32FD", "\xe3\x8b\xbd", "CIRCLED KATAKANA WE (U+32FD)"
"U+32FE", "\xe3\x8b\xbe", "CIRCLED KATAKANA WO (U+32FE)"
