# Saurashtra
U+A96B, \xea\xa5\xab, HANGUL CHOSEONG RIEUL-KAPYEOUNPIEUP
U+A96C, \xea\xa5\xac, HANGUL CHOSEONG RIEUL-SIOS
U+A96D, \xea\xa5\xad, HANGUL CHOSEONG RIEUL-CIEUC
U+A96E, \xea\xa5\xae, HANGUL CHOSEONG RIEUL-KHIEUKH
U+A96F, \xea\xa5\xaf, HANGUL CHOSEONG MIEUM-KIYEOK
U+A970, \xea\xa5\xb0, HANGUL CHOSEONG MIEUM-TIKEUT
U+A971, \xea\xa5\xb1, HANGUL CHOSEONG MIEUM-SIOS
U+A972, \xea\xa5\xb2, HANGUL CHOSEONG PIEUP-SIOS-THIEUTH
U+A973, \xea\xa5\xb3, HANGUL CHOSEONG PIEUP-KHIEUKH
U+A974, \xea\xa5\xb4, HANGUL CHOSEONG PIEUP-HIEUH
U+A975, \xea\xa5\xb5, HANGUL CHOSEONG SSANGSIOS-PIEUP
U+A976, \xea\xa5\xb6, HANGUL CHOSEONG IEUNG-RIEUL
U+A977, \xea\xa5\xb7, HANGUL CHOSEONG IEUNG-HIEUH
U+A978, \xea\xa5\xb8, HANGUL CHOSEONG SSANGCIEUC-HIEUH
U+A979, \xea\xa5\xb9, HANGUL CHOSEONG SSANGTHIEUTH
U+A97A, \xea\xa5\xba, HANGUL CHOSEONG PHIEUPH-HIEUH
U+A97B, \xea\xa5\xbb, HANGUL CHOSEONG HIEUH-SIOS
U+A97C, \xea\xa5\xbc, HANGUL CHOSEONG SSANGYEORINHIEUH
