# Cuneiform
U+120CA, \xf0\x92\x83\x8a, CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU
U+120CB, \xf0\x92\x83\x8b, CUNEIFORM SIGN GA2 TIMES GAN2 TENU
U+120CC, \xf0\x92\x83\x8c, CUNEIFORM SIGN GA2 TIMES GAR
U+120CD, \xf0\x92\x83\x8d, CUNEIFORM SIGN GA2 TIMES GI
U+120CE, \xf0\x92\x83\x8e, CUNEIFORM SIGN GA2 TIMES GI4
U+120CF, \xf0\x92\x83\x8f, CUNEIFORM SIGN GA2 TIMES GI4 PLUS A
U+120D0, \xf0\x92\x83\x90, CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU
U+120D1, \xf0\x92\x83\x91, CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2
U+120D2, \xf0\x92\x83\x92, CUNEIFORM SIGN GA2 TIMES HAL
U+120D3, \xf0\x92\x83\x93, CUNEIFORM SIGN GA2 TIMES HAL PLUS LA
U+120D4, \xf0\x92\x83\x94, CUNEIFORM SIGN GA2 TIMES HI PLUS LI
U+120D5, \xf0\x92\x83\x95, CUNEIFORM SIGN GA2 TIMES HUB2
U+120D6, \xf0\x92\x83\x96, CUNEIFORM SIGN GA2 TIMES IGI GUNU
U+120D7, \xf0\x92\x83\x97, CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH
U+120D8, \xf0\x92\x83\x98, CUNEIFORM SIGN GA2 TIMES KAK
U+120D9, \xf0\x92\x83\x99, CUNEIFORM SIGN GA2 TIMES KASKAL
U+120DA, \xf0\x92\x83\x9a, CUNEIFORM SIGN GA2 TIMES KID
U+120DB, \xf0\x92\x83\x9b, CUNEIFORM SIGN GA2 TIMES KID PLUS LAL
U+120DC, \xf0\x92\x83\x9c, CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN
U+120DD, \xf0\x92\x83\x9d, CUNEIFORM SIGN GA2 TIMES LA
U+120DE, \xf0\x92\x83\x9e, CUNEIFORM SIGN GA2 TIMES ME PLUS EN
U+120DF, \xf0\x92\x83\x9f, CUNEIFORM SIGN GA2 TIMES MI
U+120E0, \xf0\x92\x83\xa0, CUNEIFORM SIGN GA2 TIMES NUN
U+120E1, \xf0\x92\x83\xa1, CUNEIFORM SIGN GA2 TIMES NUN OVER NUN
