# Egyptian Hieroglyphs
U+130C3, \xf0\x93\x83\x83, EGYPTIAN HIEROGLYPH D061
U+130C4, \xf0\x93\x83\x84, EGYPTIAN HIEROGLYPH D062
U+130C5, \xf0\x93\x83\x85, EGYPTIAN HIEROGLYPH D063
U+130C6, \xf0\x93\x83\x86, EGYPTIAN HIEROGLYPH D064
U+130C7, \xf0\x93\x83\x87, EGYPTIAN HIEROGLYPH D065
U+130C8, \xf0\x93\x83\x88, EGYPTIAN HIEROGLYPH D066
U+130C9, \xf0\x93\x83\x89, EGYPTIAN HIEROGLYPH D067
U+130CA, \xf0\x93\x83\x8a, EGYPTIAN HIEROGLYPH D067A
U+130CB, \xf0\x93\x83\x8b, EGYPTIAN HIEROGLYPH D067B
U+130CC, \xf0\x93\x83\x8c, EGYPTIAN HIEROGLYPH D067C
U+130CD, \xf0\x93\x83\x8d, EGYPTIAN HIEROGLYPH D067D
U+130CE, \xf0\x93\x83\x8e, EGYPTIAN HIEROGLYPH D067E
U+130CF, \xf0\x93\x83\x8f, EGYPTIAN HIEROGLYPH D067F
U+130D0, \xf0\x93\x83\x90, EGYPTIAN HIEROGLYPH D067G
U+130D1, \xf0\x93\x83\x91, EGYPTIAN HIEROGLYPH D067H
U+130D2, \xf0\x93\x83\x92, EGYPTIAN HIEROGLYPH E001
U+130D3, \xf0\x93\x83\x93, EGYPTIAN HIEROGLYPH E002
U+130D4, \xf0\x93\x83\x94, EGYPTIAN HIEROGLYPH E003
U+130D5, \xf0\x93\x83\x95, EGYPTIAN HIEROGLYPH E004
U+130D6, \xf0\x93\x83\x96, EGYPTIAN HIEROGLYPH E005
U+130D7, \xf0\x93\x83\x97, EGYPTIAN HIEROGLYPH E006
U+130D8, \xf0\x93\x83\x98, EGYPTIAN HIEROGLYPH E007
U+130D9, \xf0\x93\x83\x99, EGYPTIAN HIEROGLYPH E008
U+130DA, \xf0\x93\x83\x9a, EGYPTIAN HIEROGLYPH E008A
U+130DB, \xf0\x93\x83\x9b, EGYPTIAN HIEROGLYPH E009
U+130DC, \xf0\x93\x83\x9c, EGYPTIAN HIEROGLYPH E009A
U+130DD, \xf0\x93\x83\x9d, EGYPTIAN HIEROGLYPH E010
U+130DE, \xf0\x93\x83\x9e, EGYPTIAN HIEROGLYPH E011
U+130DF, \xf0\x93\x83\x9f, EGYPTIAN HIEROGLYPH E012
U+130E0, \xf0\x93\x83\xa0, EGYPTIAN HIEROGLYPH E013
U+130E1, \xf0\x93\x83\xa1, EGYPTIAN HIEROGLYPH E014
U+130E2, \xf0\x93\x83\xa2, EGYPTIAN HIEROGLYPH E015
U+130E3, \xf0\x93\x83\xa3, EGYPTIAN HIEROGLYPH E016
U+130E4, \xf0\x93\x83\xa4, EGYPTIAN HIEROGLYPH E016A
U+130E5, \xf0\x93\x83\xa5, EGYPTIAN HIEROGLYPH E017
U+130E6, \xf0\x93\x83\xa6, EGYPTIAN HIEROGLYPH E017A
U+130E7, \xf0\x93\x83\xa7, EGYPTIAN HIEROGLYPH E018
U+130E8, \xf0\x93\x83\xa8, EGYPTIAN HIEROGLYPH E019
U+130E9, \xf0\x93\x83\xa9, EGYPTIAN HIEROGLYPH E020
U+130EA, \xf0\x93\x83\xaa, EGYPTIAN HIEROGLYPH E020A
U+130EB, \xf0\x93\x83\xab, EGYPTIAN HIEROGLYPH E021
U+130EC, \xf0\x93\x83\xac, EGYPTIAN HIEROGLYPH E022
U+130ED, \xf0\x93\x83\xad, EGYPTIAN HIEROGLYPH E023
U+130EE, \xf0\x93\x83\xae, EGYPTIAN HIEROGLYPH E024
U+130EF, \xf0\x93\x83\xaf, EGYPTIAN HIEROGLYPH E025
U+130F0, \xf0\x93\x83\xb0, EGYPTIAN HIEROGLYPH E026
U+130F1, \xf0\x93\x83\xb1, EGYPTIAN HIEROGLYPH E027
U+130F2, \xf0\x93\x83\xb2, EGYPTIAN HIEROGLYPH E028
U+130F3, \xf0\x93\x83\xb3, EGYPTIAN HIEROGLYPH E028A
U+130F4, \xf0\x93\x83\xb4, EGYPTIAN HIEROGLYPH E029
U+130F5, \xf0\x93\x83\xb5, EGYPTIAN HIEROGLYPH E030
U+130F6, \xf0\x93\x83\xb6, EGYPTIAN HIEROGLYPH E031
U+130F7, \xf0\x93\x83\xb7, EGYPTIAN HIEROGLYPH E032
U+130F8, \xf0\x93\x83\xb8, EGYPTIAN HIEROGLYPH E033
U+130F9, \xf0\x93\x83\xb9, EGYPTIAN HIEROGLYPH E034
U+130FA, \xf0\x93\x83\xba, EGYPTIAN HIEROGLYPH E034A
U+130FB, \xf0\x93\x83\xbb, EGYPTIAN HIEROGLYPH E036
U+130FC, \xf0\x93\x83\xbc, EGYPTIAN HIEROGLYPH E037
U+130FD, \xf0\x93\x83\xbd, EGYPTIAN HIEROGLYPH E038
U+130FE, \xf0\x93\x83\xbe, EGYPTIAN HIEROGLYPH F001
U+130FF, \xf0\x93\x83\xbf, EGYPTIAN HIEROGLYPH F001A
