# Mathematical Alphanumeric Symbols
U+1D4F5, \xf0\x9d\x93\xb5, MATHEMATICAL BOLD SCRIPT SMALL L
U+1D4F6, \xf0\x9d\x93\xb6, MATHEMATICAL BOLD SCRIPT SMALL M
U+1D4F7, \xf0\x9d\x93\xb7, MATHEMATICAL BOLD SCRIPT SMALL N
U+1D4F8, \xf0\x9d\x93\xb8, MATHEMATICAL BOLD SCRIPT SMALL O
U+1D4F9, \xf0\x9d\x93\xb9, MATHEMATICAL BOLD SCRIPT SMALL P
U+1D4FA, \xf0\x9d\x93\xba, MATHEMATICAL BOLD SCRIPT SMALL Q
U+1D4FB, \xf0\x9d\x93\xbb, MATHEMATICAL BOLD SCRIPT SMALL R
U+1D4FC, \xf0\x9d\x93\xbc, MATHEMATICAL BOLD SCRIPT SMALL S
U+1D4FD, \xf0\x9d\x93\xbd, MATHEMATICAL BOLD SCRIPT SMALL T
U+1D4FE, \xf0\x9d\x93\xbe, MATHEMATICAL BOLD SCRIPT SMALL U
U+1D4FF, \xf0\x9d\x93\xbf, MATHEMATICAL BOLD SCRIPT SMALL V
