# Variation Selectors Supplement
U+E01BB, \xf3\xa0\x86\xbb, VARIATION SELECTOR-204
U+E01BC, \xf3\xa0\x86\xbc, VARIATION SELECTOR-205
U+E01BD, \xf3\xa0\x86\xbd, VARIATION SELECTOR-206
U+E01BE, \xf3\xa0\x86\xbe, VARIATION SELECTOR-207
U+E01BF, \xf3\xa0\x86\xbf, VARIATION SELECTOR-208
U+E01C0, \xf3\xa0\x87\x80, VARIATION SELECTOR-209
U+E01C1, \xf3\xa0\x87\x81, VARIATION SELECTOR-210
U+E01C2, \xf3\xa0\x87\x82, VARIATION SELECTOR-211
U+E01C3, \xf3\xa0\x87\x83, VARIATION SELECTOR-212
U+E01C4, \xf3\xa0\x87\x84, VARIATION SELECTOR-213
U+E01C5, \xf3\xa0\x87\x85, VARIATION SELECTOR-214
U+E01C6, \xf3\xa0\x87\x86, VARIATION SELECTOR-215
U+E01C7, \xf3\xa0\x87\x87, VARIATION SELECTOR-216
U+E01C8, \xf3\xa0\x87\x88, VARIATION SELECTOR-217
U+E01C9, \xf3\xa0\x87\x89, VARIATION SELECTOR-218
U+E01CA, \xf3\xa0\x87\x8a, VARIATION SELECTOR-219
U+E01CB, \xf3\xa0\x87\x8b, VARIATION SELECTOR-220
U+E01CC, \xf3\xa0\x87\x8c, VARIATION SELECTOR-221
U+E01CD, \xf3\xa0\x87\x8d, VARIATION SELECTOR-222
U+E01CE, \xf3\xa0\x87\x8e, VARIATION SELECTOR-223
U+E01CF, \xf3\xa0\x87\x8f, VARIATION SELECTOR-224
U+E01D0, \xf3\xa0\x87\x90, VARIATION SELECTOR-225
U+E01D1, \xf3\xa0\x87\x91, VARIATION SELECTOR-226
U+E01D2, \xf3\xa0\x87\x92, VARIATION SELECTOR-227
U+E01D3, \xf3\xa0\x87\x93, VARIATION SELECTOR-228
U+E01D4, \xf3\xa0\x87\x94, VARIATION SELECTOR-229
U+E01D5, \xf3\xa0\x87\x95, VARIATION SELECTOR-230
U+E01D6, \xf3\xa0\x87\x96, VARIATION SELECTOR-231
U+E01D7, \xf3\xa0\x87\x97, VARIATION SELECTOR-232
